"","Fold Change","log2(FC)"
"0.691/496.11223",15.412,3.946
"2.138/648.32339",0.065004,-3.9433
"2.136/692.18962",0.065107,-3.941
"2.705/647.34534",0.065851,-3.9247
"3.010/155.00197",15.159,3.9221
"2.138/517.08998",0.066306,-3.9147
"0.970/118.90471",0.066503,-3.9104
"0.577/282.02760",14.977,3.9046
"2.401/302.14315",0.066821,-3.9035
"1.632/263.09742",0.067342,-3.8924
"2.393/628.33167",14.708,3.8786
"2.187/336.15675",14.705,3.8783
"2.461/573.30234",14.7,3.8777
"0.713/419.06229",0.068738,-3.8628
"0.460/532.76747",0.068928,-3.8588
"2.385/447.22666",0.069209,-3.8529
"2.382/729.38103",14.409,3.8489
"2.135/693.18627",0.069469,-3.8475
"2.131/776.24243",0.069901,-3.8385
"0.722/515.12408",14.243,3.8322
"2.280/399.26013",14.115,3.8191
"3.140/351.21732",0.071311,-3.8097
"2.190/366.16647",13.862,3.793
"0.610/127.00342",0.072213,-3.7916
"1.769/288.01841",13.833,3.7901
"2.117/901.20172",0.072306,-3.7897
"5.192/717.47072",13.787,3.7852
"2.176/662.30178",13.777,3.7842
"2.741/763.50497",13.757,3.7821
"2.740/1083.69560",13.716,3.7778
"2.132/783.26144",0.072942,-3.7771
"2.129/686.31071",13.69,3.775
"2.114/450.10257",0.073135,-3.7733
"0.888/556.22598",13.615,3.7671
"2.445/668.39947",13.576,3.763
"2.393/550.28642",13.562,3.7615
"2.741/763.64954",13.475,3.7522
"1.794/517.17629",0.074303,-3.7504
"2.167/547.27308",13.449,3.7495
"1.655/701.19097",0.074987,-3.7372
"5.287/757.46758",13.228,3.7256
"1.202/160.09790",13.035,3.7044
"2.124/849.25219",0.076978,-3.6994
"5.227/767.48479",12.973,3.6974
"2.737/1071.91203",12.964,3.6965
"2.680/539.25212",12.85,3.6837
"2.188/399.27229",0.078491,-3.6713
"0.607/170.99509",0.078503,-3.6711
"2.201/470.30870",0.078779,-3.666
"5.237/807.48043",12.671,3.6634
"0.741/953.27130",0.078997,-3.6621
"1.426/763.19241",0.07916,-3.6591
"1.293/482.12018",0.079175,-3.6588
"2.736/700.83457",0.079367,-3.6553
"0.651/281.05354",0.079916,-3.6454
"2.600/391.16272",0.079959,-3.6446
"2.213/423.18846",12.338,3.6251
"0.437/228.97516",12.331,3.6242
"0.994/231.13446",12.249,3.6146
"2.186/675.33320",12.173,3.6056
"2.388/392.18225",12.15,3.6029
"0.817/370.05563",0.082803,-3.5942
"2.399/474.23445",12.053,3.5913
"0.641/207.99963",0.083083,-3.5893
"2.144/307.12255",0.083178,-3.5877
