"","Fold Change","log2(FC)"
"0.823/161.16448",0.0020653,-8.9194
"0.828/214.35504",110.62,6.7895
"2.760/991.46141",98.215,6.6179
"0.830/599.05947",61.887,5.9516
"2.995/248.22214",57.285,5.8401
"0.818/393.00792",53.026,5.7286
"2.782/988.89101",0.019679,-5.6672
"1.085/1101.26281",50.436,5.6564
"2.777/650.90504",0.025577,-5.289
"2.781/769.58235",33.896,5.0831
"2.789/768.13971",33.227,5.0543
"2.754/932.00834",30.241,4.9184
"1.733/230.06001",0.035052,-4.8344
"2.787/721.45834",27.726,4.7931
"2.762/559.31019",23.189,4.5353
"2.764/746.35871",22.935,4.5195
"5.728/795.50436",21.962,4.457
"0.844/339.09076",0.047048,-4.4097
"2.789/230.05938",21.168,4.4038
"1.444/664.23209",0.048524,-4.3652
"2.784/769.69356",19.728,4.3022
"0.910/720.44070",19.499,4.2854
"1.141/1225.31785",19.229,4.2652
"5.052/689.40025",19.097,4.2553
"1.163/998.19346",0.052387,-4.2547
"0.855/385.13055",0.052401,-4.2543
"1.188/145.13261",0.052423,-4.2537
"3.149/618.20644",0.052467,-4.2524
"1.002/532.22543",0.052682,-4.2465
"2.785/1153.53740",18.941,4.2434
"2.835/808.32885",18.575,4.2153
"2.754/725.00713",18.494,4.209
"1.721/262.08474",0.054392,-4.2005
"0.802/652.07547",0.055929,-4.1603
"5.452/629.27508",17.854,4.1582
"0.764/416.95184",0.056938,-4.1345
"2.780/769.91371",17.124,4.0979
"1.160/749.09839",17.1,4.096
"1.302/486.11621",0.060456,-4.048
"2.789/1057.53150",16.394,4.0351
"0.866/452.01162",0.062647,-3.9966
"1.306/269.56779",0.064111,-3.9633
"5.727/811.47869",15.425,3.9472
"2.859/343.65115",15.338,3.939
"0.760/261.92997",0.065318,-3.9364
"0.760/229.98149",0.066002,-3.9213
"2.750/558.40347",0.066318,-3.9145
"1.072/200.15033",14.916,3.8987
"0.869/722.21151",14.772,3.8848
"2.785/649.21027",0.067748,-3.8837
"0.769/400.97833",0.0679,-3.8805
"0.764/223.97142",0.069103,-3.8551
"0.764/208.97178",0.069299,-3.851
"2.705/428.17291",13.974,3.8047
"0.760/415.96775",0.071968,-3.7965
"5.577/759.44717",13.894,3.7964
"0.765/399.99274",0.072012,-3.7956
"1.294/275.56742",0.072266,-3.7905
"0.837/246.18194",13.774,3.7839
"0.935/625.42696",13.682,3.7742
"3.602/854.96681",0.073426,-3.7676
"2.782/989.74977",13.532,3.7583
"1.069/465.98907",0.074863,-3.7396
"1.202/638.14590",0.075195,-3.7332
"2.750/781.76315",0.075941,-3.719
"2.764/304.63470",13.007,3.7012
"0.760/422.96184",0.077097,-3.6972
"1.240/347.21784",12.952,3.6952
"2.763/555.52007",0.077749,-3.685
"0.802/563.23162",0.078105,-3.6784
"0.826/247.04303",0.078149,-3.6776
"1.071/573.14241",0.079835,-3.6468
"0.619/262.97430",0.080005,-3.6438
"0.765/378.00826",0.080008,-3.6437
"2.877/671.56549",12.234,3.6128
"3.093/495.22269",0.082693,-3.5961
"2.752/781.55916",0.083275,-3.586
"2.802/837.17542",0.083283,-3.5858
"0.766/385.00629",0.084257,-3.5691
"2.772/416.57179",11.722,3.5511
"1.173/535.18923",0.086511,-3.531
"2.744/400.45866",11.45,3.5172
"1.252/691.06801",0.088292,-3.5016
"2.799/219.60712",0.089153,-3.4876
"0.883/162.95547",0.089195,-3.4869
"1.210/559.12803",11.211,3.4868
"1.251/657.12299",0.089431,-3.4831
"2.708/541.76246",0.090442,-3.4669
"0.902/794.30376",0.090479,-3.4663
"1.187/143.65857",10.941,3.4516
"1.007/510.24522",0.091601,-3.4485
"0.799/646.04484",0.092227,-3.4387
"0.801/504.04112",0.092592,-3.433
"0.874/635.07692",0.094294,-3.4067
"1.222/144.10166",10.584,3.4038
"5.371/807.44813",10.514,3.3942
"0.762/233.94179",0.095393,-3.39
"1.254/679.10405",0.095813,-3.3836
"0.894/546.06399",0.096536,-3.3728
"0.803/527.00494",0.097105,-3.3643
"0.803/542.97929",0.097379,-3.3602
"0.910/937.64053",10.267,3.3599
"3.209/524.28628",0.097484,-3.3587
"2.877/976.28000",10.183,3.3481
"1.419/281.02544",10.162,3.3451
"0.764/414.99007",0.098752,-3.34
"1.110/984.70147",10.034,3.3268
"2.773/462.57731",9.9808,3.3192
"0.865/425.10877",9.9742,3.3182
"1.428/371.60507",0.10057,-3.3138
"1.190/288.20426",9.9419,3.3135
"2.785/882.45633",9.8423,3.299
"2.810/1139.24053",0.10179,-3.2963
"2.800/756.16332",9.7887,3.2911
"1.169/768.18559",0.10267,-3.284
"2.752/365.46700",9.7301,3.2825
"1.093/782.04333",0.10278,-3.2824
"3.191/641.28004",0.10349,-3.2724
"1.079/582.19995",0.10369,-3.2696
"0.824/553.20028",0.10373,-3.2691
"1.069/481.98904",0.10395,-3.2661
"2.855/797.15530",0.10428,-3.2614
"2.694/676.36299",9.5685,3.2583
"0.865/827.24386",0.10489,-3.2531
"1.011/549.19730",0.10503,-3.2511
"2.699/803.18202",0.10531,-3.2473
"0.869/903.29739",9.4828,3.2453
"1.054/519.08065",0.10561,-3.2431
"3.316/702.85079",9.4269,3.2368
"2.889/722.20378",9.3015,3.2175
"2.819/638.81338",0.10767,-3.2153
"0.780/215.96932",0.10786,-3.2127
"4.474/1028.85800",9.2534,3.21
"2.806/444.58947",9.1648,3.1961
"2.899/769.07458",9.1483,3.1935
"0.809/511.02550",0.11007,-3.1835
"0.875/603.12747",0.11035,-3.1798
"2.898/886.08547",0.11051,-3.1778
"2.855/805.13988",0.11057,-3.177
"0.885/525.04612",0.11105,-3.1707
"2.816/668.88180",0.11112,-3.1698
"0.885/487.09092",0.11121,-3.1686
"0.966/778.26698",0.1114,-3.1662
"2.777/810.87592",8.977,3.1662
"1.871/335.07869",8.9184,3.1568
"0.885/124.99956",0.11228,-3.1548
"0.804/447.06482",0.11271,-3.1493
"2.890/722.67010",0.11306,-3.1449
"1.110/650.19178",0.1131,-3.1443
"0.779/602.91256",0.11311,-3.1441
"2.680/780.74609",0.11314,-3.1438
"2.790/529.01835",8.8349,3.1432
"0.965/794.25266",0.11336,-3.141
"1.228/663.08320",0.11367,-3.1371
"1.179/559.16716",0.11402,-3.1327
"1.197/402.02094",8.6945,3.1201
"3.061/575.32113",8.6794,3.1176
"2.930/821.11628",0.11522,-3.1175
"2.704/463.90888",8.6746,3.1168
"2.767/349.87898",8.6659,3.1154
"2.689/467.05373",8.6623,3.1148
"1.162/476.13618",0.11544,-3.1148
"0.970/252.56227",8.6475,3.1123
"2.814/1139.57000",0.11616,-3.1058
"1.544/690.57292",0.11639,-3.1029
"1.327/728.23859",8.579,3.1008
"1.090/659.98586",0.11661,-3.1002
"2.889/1194.66812",8.5681,3.099
"3.020/674.57678",8.5517,3.0962
"0.842/177.03966",8.5507,3.096
"3.873/455.65931",0.11712,-3.0939
"1.497/944.71421",8.532,3.0929
"2.883/1083.20492",8.517,3.0903
"3.004/423.57899",0.11773,-3.0864
"1.165/447.29125",8.4773,3.0836
"1.217/521.96812",8.4767,3.0835
"2.802/833.66854",0.11797,-3.0835
"1.871/243.04371",8.4614,3.0809
"3.107/172.00619",8.4517,3.0792
"2.813/1003.81591",0.11833,-3.0791
"3.452/435.67937",0.11835,-3.0789
"1.528/1089.53963",8.4214,3.0741
"1.001/490.27689",0.11884,-3.0729
"3.294/407.66519",0.11889,-3.0723
"2.872/990.82360",8.4044,3.0711
"3.202/647.97341",0.11904,-3.0705
"2.802/836.92423",0.11929,-3.0675
"2.881/902.50527",8.3598,3.0635
"1.285/787.04025",0.11988,-3.0603
"0.869/867.31634",0.12015,-3.0571
"3.037/673.41446",8.3005,3.0532
"2.770/347.54459",8.223,3.0397
"2.912/783.40006",8.2081,3.037
"3.152/629.77423",0.12219,-3.0328
"0.644/410.84914",0.1222,-3.0326
"0.797/564.96212",0.12225,-3.0321
"0.934/742.50266",8.1739,3.031
"0.773/175.11890",0.12242,-3.0301
"0.842/141.01794",8.1569,3.028
"0.916/820.56254",8.1483,3.0265
"0.901/190.10777",8.1404,3.0251
"2.698/414.15529",8.1265,3.0226
"0.785/199.99574",0.1231,-3.0221
"4.529/426.64604",8.0829,3.0149
"2.874/405.71320",0.12408,-3.0106
"2.919/924.46846",0.12412,-3.0102
"2.759/421.86615",0.1246,-3.0047
"2.879/1193.00342",8.0209,3.0038
"2.803/851.17536",0.12493,-3.0008
"2.905/832.15625",0.12534,-2.9961
"2.904/901.41999",0.12544,-2.9949
"2.748/356.84753",0.12557,-2.9935
"0.954/728.41579",0.12564,-2.9926
"2.764/831.41732",7.9532,2.9915
"3.395/695.25796",0.12583,-2.9905
"2.708/543.79216",0.12607,-2.9877
"2.678/438.42187",7.8944,2.9808
"2.899/978.09387",7.892,2.9804
"2.823/516.71830",0.12744,-2.9721
"1.593/287.30888",7.8163,2.9665
"2.969/847.74060",7.812,2.9657
"2.906/615.79817",0.12812,-2.9645
"2.920/1199.79551",0.12836,-2.9618
"2.798/620.24820",0.12874,-2.9574
"2.924/554.61753",0.12881,-2.9567
"2.891/826.77508",7.755,2.9551
"3.144/903.50081",0.12903,-2.9542
"2.877/1192.88992",7.7459,2.9534
"1.097/917.24727",0.12946,-2.9494
"1.328/712.26281",7.6796,2.941
"2.842/990.31237",0.13027,-2.9404
"2.884/677.31908",7.6717,2.9396
"2.936/1104.21144",0.13036,-2.9394
"3.143/855.49552",0.13051,-2.9378
"2.893/984.91066",7.6584,2.9371
"3.151/702.47819",7.6439,2.9343
"0.888/685.15005",0.13111,-2.9312
"0.807/84.04434",0.13112,-2.931
"1.594/200.15072",7.6134,2.9285
"3.094/1162.56935",0.1318,-2.9236
"2.755/736.35146",0.13237,-2.9174
"2.643/705.18749",0.13304,-2.91
"1.667/228.63192",7.5001,2.9069
"1.294/882.23823",7.4903,2.905
"2.726/701.72735",0.13391,-2.9007
"1.037/686.09885",7.4436,2.896
"2.919/999.82893",0.1349,-2.8901
"1.051/741.07033",7.4067,2.8888
"2.731/652.67276",0.13506,-2.8884
"3.110/696.31347",0.13552,-2.8834
"2.918/941.97535",0.13554,-2.8832
"0.890/464.12740",0.13556,-2.883
"0.818/648.07653",0.13557,-2.8829
"2.297/268.10363",7.3712,2.8819
"1.235/268.94617",7.3703,2.8817
"2.803/1029.46889",0.13569,-2.8816
"1.103/451.11884",0.13579,-2.8806
"3.681/404.20818",0.13597,-2.8786
"2.985/1051.11026",7.3399,2.8758
"1.051/650.21429",0.13664,-2.8715
"0.823/545.04349",0.13701,-2.8677
"4.317/419.68396",7.2964,2.8672
"3.272/596.70314",0.13714,-2.8663
"3.134/893.39495",0.13715,-2.8662
"2.729/548.49988",7.2761,2.8632
"1.094/766.06480",0.13762,-2.8612
"3.410/408.73642",7.2562,2.8592
"2.835/686.42330",7.2554,2.8591
"2.904/721.33591",0.13797,-2.8575
"2.957/386.71838",7.2349,2.855
"2.120/367.60668",0.13837,-2.8534
"2.956/920.95223",0.13876,-2.8493
"2.879/622.63939",0.13905,-2.8463
"0.967/800.23993",0.1392,-2.8448
"3.014/656.39679",0.13948,-2.8419
"0.863/291.06932",7.1475,2.8374
"2.933/275.07051",7.1364,2.8352
"0.644/254.93309",0.14023,-2.8341
"2.357/212.09213",7.1282,2.8335
"1.222/424.00352",7.1119,2.8302
"2.894/977.73000",7.1114,2.8301
"2.903/983.18548",0.14126,-2.8236
"2.792/705.35525",7.074,2.8225
"1.291/866.26455",7.0625,2.8202
"0.822/184.10842",7.0595,2.8196
"1.465/121.60283",7.0509,2.8178
"2.902/676.37961",0.14185,-2.8176
"2.837/417.24306",7.0483,2.8173
"2.996/897.77000",7.0286,2.8132
"2.915/512.94932",7.023,2.8121
"0.864/296.15394",7.0219,2.8119
"2.843/520.76817",7.0005,2.8075
"2.890/723.26779",7.0004,2.8074
"2.732/631.39991",6.9789,2.803
"2.905/775.57423",6.9774,2.8027
"1.291/844.28840",6.9762,2.8024
"2.860/625.35294",6.9628,2.7997
"0.781/431.02836",0.14371,-2.7987
"2.956/963.45915",0.14378,-2.7981
"0.866/635.22218",6.9396,2.7949
"2.708/237.65415",6.9213,2.791
"1.209/717.20096",6.9127,2.7892
"0.845/335.08444",0.14494,-2.7865
"1.631/690.28285",6.8866,2.7838
"3.110/265.06254",6.8603,2.7783
"0.613/605.86346",0.14586,-2.7773
"2.806/661.56103",6.8527,2.7767
"1.269/793.04136",0.14606,-2.7754
"2.783/649.32455",0.14615,-2.7745
"2.709/500.62065",0.14629,-2.7731
"2.707/644.10221",0.14665,-2.7695
"1.033/763.21576",6.8164,2.769
"2.985/642.38344",0.14685,-2.7676
"4.041/466.67861",0.14749,-2.7613
"2.889/473.22480",6.7734,2.7599
"3.091/577.82664",0.14785,-2.7578
"1.193/125.10672",0.14801,-2.7562
"0.854/521.05519",0.1481,-2.7553
"2.844/729.24932",6.7466,2.7542
"2.702/561.64434",6.7297,2.7505
"2.816/913.21836",0.149,-2.7466
"2.693/420.64148",6.7058,2.7454
"2.813/582.54783",6.6928,2.7426
"0.636/387.36007",0.14945,-2.7423
"1.606/650.21416",6.685,2.7409
"2.695/531.93135",6.6842,2.7408
"2.905/961.81660",0.15038,-2.7333
"0.800/603.89922",0.15051,-2.7321
"0.921/725.45524",6.6323,2.7295
"2.163/323.08123",6.6265,2.7283
"0.645/398.34001",0.15118,-2.7257
"2.350/210.07628",6.6108,2.7248
"0.789/586.94330",0.15131,-2.7244
"2.936/1103.87793",6.6058,2.7237
"0.792/445.95162",6.5905,2.7204
"2.830/631.62325",6.5744,2.7169
"2.856/350.73953",0.15218,-2.7162
"2.765/738.71104",6.5683,2.7155
"2.703/726.23536",6.5662,2.7151
"0.785/726.18354",6.5615,2.714
