"","Fold Change","log2(FC)"
"1.160/749.09839",13.353,3.7391
"2.857/1111.56621",13.297,3.733
"0.910/843.50494",13.245,3.7273
"3.602/854.96681",0.075572,-3.726
"2.841/916.50567",13.19,3.7213
"2.782/1153.87962",0.075894,-3.7199
"4.317/419.68396",13.139,3.7158
"1.057/118.12247",0.076236,-3.7134
"2.810/371.68433",13.049,3.7058
"1.069/465.98907",0.077051,-3.698
"1.202/638.14590",0.077393,-3.6917
"2.979/891.90596",12.856,3.6844
"2.750/781.76315",0.078161,-3.6774
"2.865/513.93166",12.687,3.6652
"3.058/513.27542",12.644,3.6604
"0.760/422.96184",0.07935,-3.6556
"2.763/555.52007",0.080021,-3.6435
"2.824/518.59646",12.484,3.642
"5.567/309.24363",12.469,3.6403
"0.802/563.23162",0.080388,-3.6369
"3.110/658.35786",0.080746,-3.6305
"3.120/597.83159",0.081664,-3.6142
"0.765/378.00826",0.082346,-3.6022
"3.087/1160.79389",0.082671,-3.5965
"2.745/925.43890",12.06,3.5922
"2.816/836.34498",0.082939,-3.5918
"3.102/462.75306",12.049,3.5908
"2.755/999.20290",0.083082,-3.5893
"0.869/575.12391",11.982,3.5828
"2.862/605.80155",11.975,3.582
"2.756/767.99036",11.914,3.5746
"2.678/438.67033",11.898,3.5727
"4.749/520.36487",11.848,3.5666
"2.844/729.24932",11.804,3.5612
"2.988/662.35078",11.778,3.5581
"2.894/322.70337",11.775,3.5576
"3.093/495.22269",0.08511,-3.5545
"2.681/299.69280",11.7,3.5484
"3.848/340.67257",0.0856,-3.5462
"2.830/631.62325",11.671,3.5448
"2.752/781.55916",0.085709,-3.5444
"2.802/837.17542",0.085718,-3.5443
"2.755/369.54596",11.655,3.5428
"3.064/613.27678",11.629,3.5397
"3.035/730.43315",11.539,3.5285
"0.766/385.00629",0.08672,-3.5275
"2.817/961.54812",11.522,3.5263
"2.775/723.11478",0.08682,-3.5258
"2.885/716.47119",0.087059,-3.5219
"2.863/727.49496",11.432,3.515
"2.774/729.37331",11.418,3.5133
"4.172/766.90996",0.087612,-3.5127
"3.213/654.34247",11.37,3.5072
"4.604/520.36492",11.335,3.5027
"2.183/162.11274",11.215,3.4873
"5.574/559.43755",11.118,3.4748
"3.201/422.24539",11.117,3.4747
"5.943/599.40772",11.079,3.4697
"2.747/1103.53891",0.090308,-3.469
"2.830/559.30897",0.090652,-3.4635
"3.119/682.86559",11.019,3.4619
"1.252/691.06801",0.090872,-3.46
"2.921/1232.29006",0.091369,-3.4522
"5.728/309.24342",10.941,3.4516
"5.096/687.30321",10.909,3.4474
"2.799/219.60712",0.091759,-3.446
"0.883/162.95547",0.091802,-3.4453
"1.251/657.12299",0.092045,-3.4415
"5.453/645.24943",10.832,3.4372
"4.173/946.17472",0.092442,-3.4353
"2.742/395.90674",10.814,3.4348
"3.003/633.86140",0.092488,-3.4346
"4.173/1007.58092",0.092678,-3.4316
"3.006/882.14900",10.784,3.4308
"4.173/1019.33788",0.092764,-3.4303
"3.120/412.70795",10.764,3.4282
"2.708/541.76246",0.093086,-3.4253
"0.902/794.30376",0.093124,-3.4247
"2.746/1103.02964",0.093269,-3.4225
"2.819/504.25678",10.71,3.4209
"5.284/589.24506",10.69,3.4183
"5.851/745.48615",10.662,3.4143
"1.007/510.24522",0.094278,-3.4069
"0.799/646.04484",0.094922,-3.3971
"2.899/828.69199",0.09493,-3.397
"2.901/631.35175",10.528,3.3961
"0.801/504.04112",0.095298,-3.3914
"1.873/278.06464",0.095384,-3.3901
"2.719/479.76471",10.478,3.3894
"2.764/304.63470",10.472,3.3884
"4.478/1029.52638",0.095844,-3.3832
"0.845/335.08444",0.095853,-3.383
"2.675/1223.37041",0.096484,-3.3736
"2.975/770.27962",10.355,3.3722
"0.874/635.07692",0.097051,-3.3651
"5.530/782.49176",10.292,3.3634
"2.884/576.29028",10.291,3.3633
"2.865/969.32135",10.258,3.3587
"4.476/1029.19081",0.097894,-3.3526
"2.829/536.19171",10.214,3.3525
"0.762/233.94179",0.098182,-3.3484
"0.878/765.27052",0.098219,-3.3479
"4.729/1217.39240",10.171,3.3463
"4.173/1019.67064",0.098367,-3.3457
"1.254/679.10405",0.098613,-3.3421
"2.885/984.63858",0.098975,-3.3368
"2.698/530.73647",10.086,3.3343
"0.894/546.06399",0.099357,-3.3312
"3.116/754.13240",10.052,3.3294
"3.007/881.47881",10.031,3.3264
"2.772/416.57179",9.9882,3.3202
"0.803/542.97929",0.10023,-3.3187
"3.209/524.28628",0.10033,-3.3171
"1.197/402.02094",9.9278,3.3115
"5.853/740.53241",9.9134,3.3094
"2.754/1097.52534",9.8791,3.3044
"3.995/1021.87097",0.10161,-3.2989
"0.764/414.99007",0.10164,-3.2985
"1.871/335.07869",9.8298,3.2972
"2.787/863.40480",0.10175,-3.2969
"2.894/767.86059",0.10224,-3.29
"1.039/718.20625",0.10228,-3.2894
"2.854/416.72550",9.7744,3.289
"0.934/742.50266",9.7553,3.2862
"2.744/400.57663",9.7063,3.2789
"3.455/1094.18389",9.6386,3.2688
"2.810/541.80034",0.10425,-3.2619
"4.173/1048.18018",0.10446,-3.259
"5.312/781.43129",9.5621,3.2573
"2.902/903.16842",0.10461,-3.2568
"2.901/903.25269",0.10476,-3.2549
"2.810/1139.24053",0.10477,-3.2547
"5.524/788.53202",9.4912,3.2466
"2.898/723.67108",0.10544,-3.2455
"3.767/770.90605",0.10546,-3.2452
"3.044/711.36831",9.4766,3.2444
"2.900/636.47717",0.10555,-3.244
"2.885/1203.22516",0.10563,-3.2429
"2.747/519.26065",9.4649,3.2426
"1.093/782.04333",0.10578,-3.2408
"2.870/882.36533",9.4429,3.2392
"2.903/775.49805",0.10597,-3.2383
"1.871/243.04371",9.4359,3.2382
"5.234/755.41629",9.4295,3.2372
"3.163/645.81625",9.4061,3.2336
"2.732/440.73133",9.4021,3.233
"5.155/581.40102",9.3933,3.2316
"3.191/641.28004",0.10652,-3.2308
"2.927/1125.04979",0.10658,-3.23
"1.079/582.19995",0.10672,-3.2281
"5.527/753.49391",9.3672,3.2276
"0.824/553.20028",0.10676,-3.2275
"1.069/481.98904",0.10699,-3.2245
"1.033/763.21576",9.3203,3.2204
"2.855/797.15530",0.10733,-3.2199
"2.896/672.69374",0.10738,-3.2192
"0.865/827.24386",0.10796,-3.2115
"4.174/1047.84839",0.10809,-3.2097
"2.678/438.42187",9.2285,3.2061
"2.975/366.66605",9.1815,3.1987
"2.978/754.30636",9.179,3.1983
"2.901/896.66949",0.10906,-3.1969
"1.202/522.17636",9.1664,3.1964
"2.708/237.65415",9.1336,3.1912
"5.413/779.47138",9.0931,3.1848
"3.079/496.25415",9.0872,3.1838
"1.606/650.21416",9.0775,3.1823
"5.574/738.51659",9.0646,3.1802
"3.167/457.76455",9.0571,3.179
"2.842/703.66611",0.11043,-3.1789
"2.901/1195.33586",0.11056,-3.1771
"2.819/638.81338",0.11082,-3.1737
"5.466/767.47016",9.0174,3.1727
"2.976/705.38256",9.0121,3.1719
"0.780/215.96932",0.11101,-3.1712
"2.848/971.66478",8.9759,3.1661
"5.155/641.42191",8.9376,3.1599
"2.845/738.84785",8.9101,3.1554
"2.907/473.77203",0.11241,-3.1531
"2.901/904.66813",0.11298,-3.1459
"0.901/190.10777",8.8461,3.145
"2.690/334.61346",0.11316,-3.1435
"3.154/459.75002",8.83,3.1424
"0.875/603.12747",0.11358,-3.1383
"2.898/886.08547",0.11374,-3.1362
"2.855/805.13988",0.1138,-3.1354
"0.885/525.04612",0.1143,-3.1291
"2.816/668.88180",0.11437,-3.1282
"0.885/487.09092",0.11446,-3.127
"0.966/778.26698",0.11466,-3.1246
"2.767/349.87898",8.7185,3.1241
"2.683/300.83999",8.7124,3.1231
"2.752/868.41775",8.6997,3.121
"2.784/1202.54547",8.6639,3.115
"0.885/124.99956",0.11557,-3.1132
"2.837/502.28781",8.6346,3.1101
"0.865/425.10877",8.6306,3.1095
"0.804/447.06482",0.11601,-3.1077
"2.764/831.41732",8.6085,3.1058
"2.890/722.67010",0.11636,-3.1033
"1.110/650.19178",0.11641,-3.1027
"0.779/602.91256",0.11642,-3.1026
"0.965/794.25266",0.11667,-3.0994
"1.228/663.08320",0.11699,-3.0955
"2.785/882.45633",8.5463,3.0953
"0.835/381.08129",0.11716,-3.0934
"2.789/705.02139",8.5214,3.0911
"5.412/795.44510",8.5202,3.0909
"5.052/698.39182",8.4931,3.0863
"1.051/744.66388",8.4766,3.0835
"2.930/821.11628",0.11859,-3.076
"1.162/476.13618",0.11882,-3.0732
"2.978/737.95779",8.4047,3.0712
"1.327/728.23859",8.3976,3.07
"6.153/747.50388",8.3793,3.0668
"2.887/984.73082",0.11954,-3.0645
"2.814/1139.57000",0.11955,-3.0643
"2.886/722.60090",0.11974,-3.0621
"1.544/690.57292",0.1198,-3.0614
"1.090/659.98586",0.12002,-3.0586
"2.903/772.64616",0.12007,-3.0581
"2.794/689.37958",8.328,3.058
"2.878/1193.11225",0.12023,-3.0562
"0.837/246.18194",8.2964,3.0525
"2.903/721.53694",0.1208,-3.0494
"5.049/282.19874",8.2638,3.0468
"2.885/1117.33945",8.2637,3.0468
"3.004/423.57899",0.12117,-3.0449
"2.890/1194.77727",0.12123,-3.0442
"2.885/1203.44768",0.12125,-3.0439
"5.052/581.40065",8.2454,3.0436
"5.051/659.43182",8.2457,3.0436
"2.802/833.66854",0.12142,-3.0419
"2.813/1003.81591",0.12179,-3.0376
"2.752/365.46700",8.1838,3.0328
"1.001/490.27689",0.12232,-3.0313
"0.940/450.01866",0.12233,-3.0312
"3.294/407.66519",0.12236,-3.0308
"1.049/763.13995",8.1708,3.0305
"2.846/463.72220",0.12246,-3.0297
"3.202/647.97341",0.12252,-3.029
"2.900/897.91843",0.12271,-3.0267
"2.802/836.92423",0.12278,-3.0259
"2.900/769.79294",0.12289,-3.0245
"2.908/775.71815",0.12293,-3.0241
"2.883/722.47199",0.12302,-3.023
"2.896/896.25253",0.1234,-3.0186
"5.155/681.41478",8.1024,3.0184
"2.823/564.61574",8.0885,3.0159
"0.869/867.31634",0.12366,-3.0156
"2.996/897.77000",8.0868,3.0156
"5.158/697.38859",8.0849,3.0152
"5.052/697.38866",8.0735,3.0132
"2.899/715.07243",0.12387,-3.013
"5.052/641.42232",8.0488,3.0088
"3.104/1093.60812",0.12464,-3.0041
"2.896/868.60473",8.0144,3.0026
"1.222/424.00352",7.9834,2.997
"2.979/1128.75424",7.9807,2.9965
"2.845/971.83258",7.9694,2.9945
"3.113/673.37669",7.9605,2.9929
"2.903/983.36491",0.12571,-2.9918
"3.152/629.77423",0.12576,-2.9913
"0.644/410.84914",0.12577,-2.9911
"1.052/755.15499",7.9465,2.9903
"0.773/175.11890",0.126,-2.9885
"2.824/527.31859",7.9067,2.9831
"1.453/919.23878",0.12657,-2.982
"2.832/823.91348",0.12686,-2.9787
"5.371/786.51696",7.8634,2.9752
"2.719/861.87852",0.12734,-2.9732
"0.869/673.17555",7.8514,2.9729
"5.371/791.47353",7.8504,2.9728
"1.155/200.14949",7.8479,2.9723
"2.897/1194.88690",0.12758,-2.9705
"2.874/405.71320",0.12771,-2.9691
"2.919/924.46846",0.12775,-2.9686
"2.883/722.53728",0.12788,-2.9672
"2.803/851.17536",0.12858,-2.9592
"2.905/832.15625",0.12901,-2.9545
"2.904/901.41999",0.12911,-2.9533
"2.748/356.84753",0.12924,-2.9519
"0.954/728.41579",0.12932,-2.951
"0.825/479.03642",7.7316,2.9508
"5.528/609.45346",7.7248,2.9495
"2.926/1125.30179",0.12967,-2.947
"2.708/543.79216",0.12975,-2.9462
"2.903/832.07993",0.12979,-2.9457
"3.020/674.57678",7.7009,2.945
"2.877/753.68261",0.12988,-2.9448
"0.967/704.21341",0.1303,-2.9401
"2.985/1051.11026",7.6707,2.9393
"1.149/115.58398",7.6531,2.936
"2.861/831.27749",7.6528,2.936
"2.823/516.71830",0.13116,-2.9306
"1.549/295.57882",7.6011,2.9262
"3.044/775.23943",7.5904,2.9242
"2.906/615.79817",0.13186,-2.9229
"2.894/1205.22704",0.13197,-2.9218
"3.085/631.65410",7.5583,2.9181
"2.872/990.82360",7.5585,2.9181
"2.798/620.24820",0.13251,-2.9159
"2.924/554.61753",0.13257,-2.9151
"4.005/457.67344",7.5386,2.9143
"2.901/833.85017",0.13271,-2.9136
"3.144/903.50081",0.1328,-2.9126
"2.884/1203.11137",0.13326,-2.9077
"2.905/835.46673",0.13364,-2.9036
"2.822/425.90692",7.4813,2.9033
"2.961/716.10820",0.13367,-2.9033
"2.924/1232.62133",0.13388,-2.901
"2.901/885.91753",0.13391,-2.9007
"0.935/662.19886",7.4611,2.8994
"2.842/990.31237",0.13408,-2.8988
"2.936/1104.21144",0.13417,-2.8978
"3.143/855.49552",0.13432,-2.8962
"2.904/721.26960",0.13439,-2.8955
"0.888/685.15005",0.13494,-2.8896
"0.807/84.04434",0.13495,-2.8895
"5.400/757.43184",7.405,2.8885
"2.902/721.00624",0.13511,-2.8878
"2.882/1116.53742",7.3948,2.8865
"2.884/1117.13592",7.3922,2.886
"2.698/420.58823",0.13543,-2.8844
"2.163/323.08123",7.3759,2.8828
"3.094/1162.56935",0.13565,-2.882
"2.903/721.20285",0.13582,-2.8803
"2.903/775.64273",0.13588,-2.8795
"2.897/670.44166",0.13616,-2.8767
"2.755/736.35146",0.13624,-2.8758
"2.898/824.84615",0.13691,-2.8688
"2.643/705.18749",0.13693,-2.8685
"2.884/1116.93602",7.3029,2.8685
"1.689/146.02682",7.2937,2.8666
"2.704/463.90888",7.2709,2.8621
"2.878/895.17117",0.1378,-2.8593
"2.900/829.00312",0.13859,-2.8511
"2.875/754.01672",0.13863,-2.8507
"2.919/999.82893",0.13884,-2.8485
"2.731/652.67276",0.139,-2.8468
"2.729/548.49988",7.1883,2.8456
"2.996/862.66674",0.13921,-2.8446
"3.110/696.31347",0.13948,-2.8418
"2.918/941.97535",0.13951,-2.8416
"0.818/648.07653",0.13953,-2.8413
"2.803/1029.46889",0.13966,-2.8401
"2.960/771.42762",0.13971,-2.8395
"3.681/404.20818",0.13995,-2.837
"2.808/781.22210",7.1061,2.8291
"5.524/307.22807",7.1023,2.8283
"0.823/545.04349",0.14101,-2.8261
"3.272/596.70314",0.14114,-2.8248
"3.134/893.39495",0.14116,-2.8246
"0.794/668.02944",0.14156,-2.8205
