AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj	Regulation
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.260/415.18504	3.0822994979226435	1.6240070510723297	0.03768707482993197	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.560/416.00122	0.28260844411601094	-1.8231235219887112	0.008571428571428572	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.301/416.97509	2.5138987813488223	1.3299265628109822	0.032517006802721085	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.031/418.10078	2.9994746157844685	1.584709822194189	0.013061224489795919	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.410/419.23039	0.43817246547875177	-1.1904292658886353	0.0454421768707483	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.041/420.14910	2.8691285509239073	1.520612609314528	0.013197278911564626	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.435/421.00275	3.1845847966008045	1.671105287416393	0.014829931972789116	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.043/422.13993	5.3821373245110635	2.4281792016181694	4.0816326530612246e-4	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.244/427.98356	2.2133967541235235	1.1462620792013365	0.04122448979591837	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.684/429.13974	2.4439716875062096	1.2892275721734263	0.0364625850340136	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.569/430.15451	0.4298918189462249	-1.2179544395045427	0.02707482993197279	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.349/431.18443	0.44118099149283013	-1.1805574618678525	0.0491156462585034	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.048/434.07506	2.6923185297476047	1.4288491061227755	0.016870748299319727	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.744/435.10092	0.3707491132937782	-1.4314848526408988	0.02326530612244898	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.042/438.10898	2.692636248745936	1.4290193477098176	0.0182312925170068	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.616/440.12605	2.682348503316548	1.4234966911361502	0.03700680272108844	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.804/441.22170	2.2503497736947673	1.170149258134021	0.04925170068027211	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.202/442.09123	2.441431983471283	1.2877275860951634	0.034829931972789115	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.054/442.14362	2.5278778112093963	1.3379267303573434	0.020680272108843538	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.644/443.05687	0.29857158175147774	-1.7438512395867167	0.03333333333333333	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.266/443.70775	2.3229998243425247	1.2159890450549522	0.03850340136054422	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.044/444.19205	2.6331100152145432	1.3967678005669053	0.01945578231292517	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.577/448.11451	0.3059554964167798	-1.7086062778130633	0.014421768707482994	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.103/454.57208	2.402046209103138	1.2642639049997086	0.04503401360544218	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.073/456.99322	3.528434843950995	1.8190283694421938	0.01197278911564626	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.048/458.11618	2.640289419437914	1.4006960815163467	0.02	0	Up-regulated
