"","Fold Change","log2(FC)"
"4.604/520.36492",0.081952,-3.6091
"2.183/162.11274",0.082829,-3.5937
"2.744/400.45866",11.976,3.5821
"5.574/559.43755",0.083552,-3.5812
"3.201/422.24539",0.083559,-3.5811
"5.943/599.40772",0.083846,-3.5761
"3.119/682.86559",0.084299,-3.5683
"5.728/309.24342",0.084904,-3.558
"5.096/687.30321",0.08515,-3.5538
"2.742/395.90674",0.085899,-3.5412
"2.885/984.63858",11.621,3.5387
"3.006/882.14900",0.08614,-3.5372
"2.903/828.92717",11.593,3.5352
"3.120/412.70795",0.086296,-3.5346
"2.819/504.25678",0.086732,-3.5273
"5.284/589.24506",0.08689,-3.5247
"5.851/745.48615",0.087127,-3.5207
"1.187/143.65857",11.443,3.5165
"2.901/631.35175",0.088234,-3.5025
"2.719/479.76471",0.088649,-3.4958
"4.480/1034.85157",11.277,3.4953
"2.975/770.27962",0.089708,-3.4786
"2.898/723.67108",11.08,3.4699
"5.530/782.49176",0.090258,-3.4698
"2.884/576.29028",0.090264,-3.4697
"1.222/144.10166",11.071,3.4687
"2.865/969.32135",0.090552,-3.4651
"2.698/420.58823",11.041,3.4647
"2.829/536.19171",0.090941,-3.4589
"4.729/1217.39240",0.091332,-3.4527
"0.619/262.97430",0.091601,-3.4485
"2.698/530.73647",0.092095,-3.4407
"3.116/754.13240",0.092408,-3.4358
"1.071/573.14241",0.09243,-3.4355
"3.007/881.47881",0.092602,-3.4328
"1.054/519.08065",0.093114,-3.4249
"0.910/937.64053",10.739,3.4248
"5.853/740.53241",0.093702,-3.4158
"2.896/896.25253",10.664,3.4147
"2.901/903.25269",10.661,3.4143
"2.757/666.64132",10.656,3.4137
"2.877/976.28000",10.651,3.4129
"2.754/1097.52534",0.094027,-3.4108
"1.419/281.02544",10.629,3.4099
"2.903/775.49805",10.527,3.3961
"2.854/416.72550",0.095034,-3.3954
"1.110/984.70147",10.495,3.3917
"2.744/400.57663",0.095701,-3.3853
"2.773/462.57731",10.44,3.384
"4.172/766.90996",10.43,3.3826
"1.190/288.20426",10.399,3.3784
"2.889/644.39655",0.096174,-3.3782
"3.455/1094.18389",0.096373,-3.3752
"2.926/1125.30179",10.344,3.3707
"5.312/781.43129",0.097144,-3.3637
"2.899/828.69199",10.263,3.3593
"2.759/421.86615",0.097602,-3.3569
"2.800/756.16332",10.239,3.356
"5.524/788.53202",0.09787,-3.353
"3.044/711.36831",0.09802,-3.3508
"2.747/519.26065",0.098142,-3.349
"2.870/882.36533",0.098371,-3.3456
"1.097/917.24727",0.098395,-3.3453
"4.041/466.67861",0.098428,-3.3448
"5.234/755.41629",0.09851,-3.3436
"2.886/722.60090",10.147,3.343
"4.173/1019.33788",10.128,3.3402
"2.732/440.73133",0.098797,-3.3394
"2.699/803.18202",0.098836,-3.3388
"5.155/581.40102",0.09889,-3.338
"0.826/247.04303",0.099089,-3.3351
"5.527/753.49391",0.099166,-3.334
"2.694/676.36299",10.008,3.3231
"2.875/754.01672",9.9965,3.3214
"2.883/722.47199",9.9453,3.314
"0.869/903.29739",9.9187,3.3101
"2.896/672.69374",9.8938,3.3065
"2.975/366.66605",0.10117,-3.3051
"2.978/754.30636",0.1012,-3.3047
"3.316/702.85079",9.8602,3.3016
"2.900/636.47717",9.8382,3.2984
"5.413/779.47138",0.10215,-3.2912
"3.079/496.25415",0.10222,-3.2902
"1.039/718.20625",9.7824,3.2902
"5.574/738.51659",0.10248,-3.2867
"3.167/457.76455",0.10256,-3.2854
"1.051/650.21429",0.10261,-3.2848
"2.889/722.20378",9.729,3.2823
"5.466/767.47016",0.10301,-3.2791
"2.976/705.38256",0.10307,-3.2783
"4.474/1028.85800",9.6788,3.2748
"2.884/1203.11137",9.6782,3.2747
"2.848/971.66478",0.10349,-3.2725
"5.155/641.42191",0.10393,-3.2663
"2.845/738.84785",0.10425,-3.2618
"2.890/1194.77727",9.5906,3.2616
"2.899/769.07458",9.5688,3.2583
"2.756/800.16883",9.5308,3.2526
"3.767/770.90605",9.5152,3.2502
"3.154/459.75002",0.1052,-3.2488
"2.777/810.87592",9.3896,3.2311
"4.173/1007.58092",9.3891,3.231
"2.683/300.83999",0.10662,-3.2295
"2.877/753.68261",9.3632,3.227
"0.862/778.22260",0.10683,-3.2266
"2.690/334.61346",9.3571,3.2261
"2.784/1202.54547",0.10722,-3.2214
"2.882/722.26833",9.281,3.2143
"3.995/1021.87097",9.1866,3.1995
"2.887/984.73082",9.1822,3.1988
"2.789/705.02139",0.10901,-3.1975
"5.412/795.44510",0.10902,-3.1973
"1.873/278.06464",9.1595,3.1953
"1.051/744.66388",0.10958,-3.1899
"2.878/895.17117",9.0792,3.1826
"2.689/467.05373",9.0605,3.1796
"2.978/737.95779",0.11052,-3.1776
"0.970/252.56227",9.045,3.1771
"2.908/775.71815",9.0384,3.1761
"4.173/946.17472",9.0341,3.1754
"0.878/765.27052",9.0315,3.175
"6.153/747.50388",0.11086,-3.1732
"2.794/689.37958",0.11154,-3.1644
"2.889/1194.66812",8.962,3.1638
"0.842/177.03966",8.9438,3.1609
"2.885/1203.22516",8.9405,3.1604
"1.497/944.71421",8.9242,3.1577
"2.883/1083.20492",8.9085,3.1552
"2.898/986.27502",8.9083,3.1551
"5.049/282.19874",0.11241,-3.1532
"2.885/1117.33945",0.11241,-3.1532
"5.052/581.40065",0.11266,-3.15
"5.051/659.43182",0.11265,-3.15
"2.747/1103.53891",8.8691,3.1488
"1.165/447.29125",8.867,3.1484
"1.217/521.96812",8.8663,3.1483
"4.478/1029.52638",8.8564,3.1467
"3.107/172.00619",8.8402,3.1441
"2.756/999.45825",8.8398,3.144
"3.395/695.25796",0.11325,-3.1424
"2.878/1193.11225",8.8278,3.142
"1.528/1089.53963",8.8085,3.1389
"1.049/763.13995",0.11369,-3.1369
"4.476/1029.19081",8.7927,3.1363
"2.816/836.34498",8.7606,3.131
"4.173/1019.67064",8.7514,3.1295
"1.294/275.56742",0.11429,-3.1293
"2.881/902.50527",8.744,3.1283
"5.155/681.41478",0.11464,-3.1248
"2.823/564.61574",0.11484,-3.1223
"5.158/697.38859",0.11489,-3.1216
"2.902/986.36525",8.6731,3.1166
"2.780/1047.47838",8.6709,3.1162
"5.052/641.42232",0.11541,-3.1152
"2.883/722.53728",8.6392,3.1109
"2.896/868.60473",0.1159,-3.109
"2.901/833.85017",8.6201,3.1077
"3.003/633.86140",8.585,3.1018
"2.845/971.83258",0.11656,-3.1009
"3.113/673.37669",0.11669,-3.0993
"3.120/597.83159",8.5659,3.0986
"1.052/755.15499",0.1169,-3.0967
"2.885/1203.44768",8.5341,3.0932
"0.842/141.01794",8.5318,3.0929
"2.902/903.16842",8.5315,3.0928
"3.873/455.65931",0.11725,-3.0924
"2.824/527.31859",0.11748,-3.0895
