"","Fold Change","log2(FC)"
"1.805/344.14666",1849.9,10.853
"1.403/369.15366",847.31,9.7267
"1.148/340.14006",363.13,8.5044
"2.196/286.03976",0.0038483,-8.0215
"3.049/724.23648",0.0045428,-7.7822
"2.285/437.08628",200.55,7.6478
"5.082/779.49715",0.0050554,-7.628
"1.144/378.11255",180.72,7.4976
"2.231/414.54509",0.0057331,-7.4465
"2.291/414.54697",0.0057331,-7.4465
"1.806/368.18950",158.63,7.3095
"5.087/769.49060",0.0085676,-6.8669
"5.086/249.18485",0.0087189,-6.8416
"5.087/301.21747",0.01351,-6.2099
"4.941/572.43327",0.017206,-5.8609
"1.126/226.08341",58.001,5.858
"4.789/811.46806",0.017398,-5.845
"1.164/378.18135",50.209,5.6499
"2.670/555.34847",0.020719,-5.5929
"5.346/807.50174",0.021039,-5.5708
"2.459/330.02893",0.021793,-5.52
"2.947/530.26824",0.026091,-5.2603
"2.313/604.79494",0.027297,-5.1951
"2.688/571.81718",0.028273,-5.1444
"4.951/301.21666",0.029073,-5.1042
"0.703/226.08351",32.904,5.0402
"2.689/784.38721",0.032124,-4.9602
"2.170/480.14875",30.769,4.9434
"4.937/753.43446",0.032721,-4.9336
"2.334/261.10003",0.032855,-4.9277
"2.405/384.20222",29.912,4.9026
"4.880/737.45237",0.033769,-4.8881
"2.282/769.23468",28.649,4.8404
"4.367/687.26641",0.036459,-4.7776
"5.286/781.51129",0.036789,-4.7646
"2.127/634.30522",0.037283,-4.7453
"5.086/537.30406",0.038706,-4.6913
"2.217/344.21873",0.039066,-4.6779
"2.409/541.29916",0.039295,-4.6695
"2.266/175.02491",0.039401,-4.6656
"5.086/597.32569",0.040251,-4.6348
"1.224/451.08888",24.597,4.6204
"0.934/309.07255",0.04211,-4.5697
"2.652/420.23018",0.044339,-4.4953
"2.223/616.33174",0.045829,-4.4476
"5.085/815.49629",0.046027,-4.4414
"3.183/395.10726",0.046133,-4.438
"2.285/829.25611",21.4,4.4195
"2.284/805.21052",21.244,4.409
"4.939/777.48060",0.047439,-4.3978
"1.136/306.06514",20.579,4.3631
"2.194/527.24668",0.049368,-4.3403
"2.953/608.31895",0.049592,-4.3338
"3.241/654.36308",0.050035,-4.3209
"0.969/400.10227",0.050531,-4.3067
"2.266/330.02856",0.050615,-4.3043
"0.633/314.05209",19.632,4.2951
"2.395/536.27139",0.051525,-4.2786
"2.002/343.03700",0.051816,-4.2704
"2.992/596.28259",0.051976,-4.266
"2.702/596.30910",0.052391,-4.2545
"1.526/295.05178",19.042,4.2511
"0.807/209.05668",18.808,4.2333
"2.225/458.26124",0.053318,-4.2292
"2.623/654.31471",0.054799,-4.1897
"2.336/642.38251",0.055118,-4.1813
"2.435/399.26067",0.056132,-4.155
"2.157/674.34845",17.814,4.155
"4.810/787.46544",0.056449,-4.1469
"2.566/498.28082",0.056775,-4.1386
"3.222/608.31903",0.056969,-4.1337
"0.691/496.11223",0.057652,-4.1165
"3.010/155.00197",0.058612,-4.0927
"2.393/628.33167",0.060409,-4.0491
"2.187/336.15675",0.060422,-4.0488
"2.461/573.30234",0.060445,-4.0482
"2.382/729.38103",0.061664,-4.0194
"1.419/210.08917",16.174,4.0156
"2.280/399.26013",0.062949,-3.9897
"1.265/397.13572",15.735,3.9759
"2.190/366.16647",0.064099,-3.9636
"5.192/717.47072",0.064447,-3.9557
"2.176/662.30178",0.064492,-3.9547
