Metabolite Clone1 Clone2 log2FC plotContrast
0.642/60.51143 AC9.3 E30 0.077412 "AC9.3 vs E30"
0.642/60.51143 AC9.1 AC9.3 -0.20627 "AC9.1 vs AC9.3"
0.642/60.51143 AC9.2 AC9.3 0.04306 "AC9.2 vs AC9.3"
0.642/60.51143 AC9.1 AC9.2 -0.24933 "AC9.1 vs AC9.2"
0.864/61.00983 AC9.1 E30 -0.082697 "AC9.1 vs E30"
0.864/61.00983 AC9.2 E30 -0.028203 "AC9.2 vs E30"
0.864/61.00983 AC9.3 E30 0.19195 "AC9.3 vs E30"
0.864/61.00983 AC9.1 AC9.3 -0.27465 "AC9.1 vs AC9.3"
0.864/61.00983 AC9.2 AC9.3 -0.22015 "AC9.2 vs AC9.3"
0.864/61.00983 AC9.1 AC9.2 -0.054494 "AC9.1 vs AC9.2"
0.640/62.02377 AC9.1 E30 -0.15434 "AC9.1 vs E30"
0.640/62.02377 AC9.2 E30 0.23063 "AC9.2 vs E30"
0.640/62.02377 AC9.3 E30 0.039995 "AC9.3 vs E30"
0.640/62.02377 AC9.1 AC9.3 -0.19434 "AC9.1 vs AC9.3"
0.640/62.02377 AC9.2 AC9.3 0.19064 "AC9.2 vs AC9.3"
0.640/62.02377 AC9.1 AC9.2 -0.38497 "AC9.1 vs AC9.2"
0.863/63.02576 AC9.1 E30 -0.073403 "AC9.1 vs E30"
0.863/63.02576 AC9.2 E30 -0.018414 "AC9.2 vs E30"
0.863/63.02576 AC9.3 E30 0.18833 "AC9.3 vs E30"
0.863/63.02576 AC9.1 AC9.3 -0.26174 "AC9.1 vs AC9.3"
0.863/63.02576 AC9.2 AC9.3 -0.20675 "AC9.2 vs AC9.3"
0.863/63.02576 AC9.1 AC9.2 -0.054989 "AC9.1 vs AC9.2"
0.864/65.02146 AC9.1 E30 -0.093213 "AC9.1 vs E30"
0.864/65.02146 AC9.2 E30 0.10007 "AC9.2 vs E30"
0.864/65.02146 AC9.3 E30 0.058545 "AC9.3 vs E30"
0.864/65.02146 AC9.1 AC9.3 -0.15176 "AC9.1 vs AC9.3"
0.864/65.02146 AC9.2 AC9.3 0.041523 "AC9.2 vs AC9.3"
0.864/65.02146 AC9.1 AC9.2 -0.19328 "AC9.1 vs AC9.2"
1.021/65.03796 AC9.1 E30 0.070574 "AC9.1 vs E30"
1.021/65.03796 AC9.2 E30 0.21755 "AC9.2 vs E30"
1.021/65.03796 AC9.3 E30 -0.84531 "AC9.3 vs E30"
1.021/65.03796 AC9.1 AC9.3 0.91589 "AC9.1 vs AC9.3"
1.021/65.03796 AC9.2 AC9.3 1.0629 "AC9.2 vs AC9.3"
1.021/65.03796 AC9.1 AC9.2 -0.14697 "AC9.1 vs AC9.2"
0.623/66.01890 AC9.1 E30 -0.18809 "AC9.1 vs E30"
0.623/66.01890 AC9.2 E30 -0.12447 "AC9.2 vs E30"
0.623/66.01890 AC9.3 E30 0.021213 "AC9.3 vs E30"
0.623/66.01890 AC9.1 AC9.3 -0.2093 "AC9.1 vs AC9.3"
0.623/66.01890 AC9.2 AC9.3 -0.14568 "AC9.2 vs AC9.3"
0.623/66.01890 AC9.1 AC9.2 -0.063626 "AC9.1 vs AC9.2"
0.831/67.04126 AC9.1 E30 0.27244 "AC9.1 vs E30"
0.831/67.04126 AC9.2 E30 0.10721 "AC9.2 vs E30"
0.831/67.04126 AC9.3 E30 0.24376 "AC9.3 vs E30"
0.831/67.04126 AC9.1 AC9.3 0.028682 "AC9.1 vs AC9.3"
0.831/67.04126 AC9.2 AC9.3 -0.13654 "AC9.2 vs AC9.3"
0.831/67.04126 AC9.1 AC9.2 0.16523 "AC9.1 vs AC9.2"
0.642/67.52203 AC9.1 E30 -0.24284 "AC9.1 vs E30"
0.642/67.52203 AC9.2 E30 -0.17029 "AC9.2 vs E30"
0.642/67.52203 AC9.3 E30 -0.09827 "AC9.3 vs E30"
0.642/67.52203 AC9.1 AC9.3 -0.14457 "AC9.1 vs AC9.3"
0.642/67.52203 AC9.2 AC9.3 -0.072018 "AC9.2 vs AC9.3"
0.642/67.52203 AC9.1 AC9.2 -0.072553 "AC9.1 vs AC9.2"
0.860/68.04858 AC9.1 E30 0.34086 "AC9.1 vs E30"
0.860/68.04858 AC9.2 E30 -0.74441 "AC9.2 vs E30"
0.860/68.04858 AC9.3 E30 -0.24804 "AC9.3 vs E30"
