"","Fold Change","log2(FC)"
"1.786/360.12086",5081.7,12.311
"1.805/344.14666",1624.7,10.666
"2.296/432.57752",0.0019331,-9.0149
"2.240/434.51564",0.0026694,-8.5493
"1.148/340.14006",318.92,8.3171
"0.599/409.14209",0.0054574,-7.5176
"2.231/414.54509",0.0058712,-7.4121
"2.291/414.54697",0.0058712,-7.4121
"1.144/378.11255",158.72,7.3103
"2.111/551.07164",152.97,7.2571
"1.806/368.18950",139.31,7.1222
"0.820/348.10216",113.91,6.8317
"1.144/360.14125",58.054,5.8593
"5.083/755.45444",47.412,5.5672
"0.638/761.22424",0.021693,-5.5267
"1.144/376.11508",44.384,5.472
"1.164/378.18135",44.096,5.4626
"2.135/839.28788",0.032078,-4.9623
"2.147/935.26699",0.0322,-4.9568
"4.952/827.49415",30.715,4.9409
"2.149/1016.29433",0.033242,-4.9108
"1.792/489.15824",29.647,4.8898
"4.954/789.48708",28.355,4.8255
"4.952/803.45040",26.45,4.7252
"2.099/403.12248",0.037813,-4.725
"2.405/384.20222",26.27,4.7154
"0.927/184.05437",0.038245,-4.7086
"2.147/917.28073",0.038307,-4.7062
"2.282/769.23468",25.161,4.6531
"2.459/330.02893",0.041253,-4.5994
"3.183/395.10726",0.043512,-4.5224
"2.145/836.25456",0.043822,-4.5122
"0.934/309.07255",0.046798,-4.4174
"0.719/850.22416",0.047768,-4.3878
"0.732/565.08433",0.048886,-4.3544
"0.841/872.28267",0.049062,-4.3492
"4.684/477.30339",20.234,4.3387
"0.584/226.97844",0.049566,-4.3345
"2.152/1223.38451",0.049883,-4.3253
"4.779/761.45246",19.879,4.3132
"2.739/1071.70641",19.298,4.2704
"0.729/872.28171",0.052695,-4.2462
"2.122/524.16781",0.053084,-4.2356
"2.285/829.25611",18.794,4.2322
"1.019/754.25361",0.053534,-4.2234
"2.284/805.21052",18.657,4.2217
"1.136/306.06514",18.074,4.1758
"0.581/264.93418",0.056917,-4.135
"2.148/998.30640",0.058867,-4.0864
"0.597/712.21249",0.061105,-4.0326
"2.139/755.22508",0.062391,-4.0025
"0.908/397.08777",0.063313,-3.9814
"2.149/1079.33244",0.065874,-3.9241
"2.266/175.02491",0.066953,-3.9007
"2.128/695.21689",0.067958,-3.8792
"2.168/348.05265",0.068405,-3.8697
"2.451/411.22157",0.069098,-3.8552
"2.127/593.17271",0.06943,-3.8483
"0.641/207.99963",0.070209,-3.8322
"2.136/845.79955",0.070526,-3.8257
"2.122/512.14505",0.07065,-3.8232
"2.099/365.14928",0.070789,-3.8203
"2.135/674.20195",0.072112,-3.7936
"0.902/452.09206",0.072261,-3.7906
"1.265/397.13572",13.819,3.7886
"2.740/897.08124",13.78,3.7845
"2.500/512.34388",13.598,3.7653
"2.132/873.33196",0.074009,-3.7562
"2.266/443.70775",13.462,3.7508
"1.395/333.17737",0.074973,-3.7375
"2.220/814.11593",13.247,3.7276
"2.740/1083.89403",13.215,3.7241
"2.738/1072.11192",13.162,3.7183
"2.153/1142.37312",0.076761,-3.7035
"2.266/330.02856",0.078357,-3.6738
"2.130/1190.34842",0.078865,-3.6645
"2.736/1072.30810",12.661,3.6623
"2.133/765.27301",0.080202,-3.6402
"0.728/850.10187",0.082074,-3.6069
