"","Fold Change","log2(FC)"
"2.388/392.18225",11.993,3.5841
"0.648/482.11845",0.083535,-3.5815
"2.576/901.48147",0.08383,-3.5764
"2.399/474.23445",11.896,3.5724
"1.526/295.05178",0.084319,-3.568
"0.460/534.76343",0.085163,-3.5536
"0.455/259.07588",11.646,3.5418
"4.822/837.48254",11.645,3.5417
"2.120/503.16202",0.085904,-3.5411
"2.282/557.29350",0.085983,-3.5398
"2.270/402.15773",0.086093,-3.538
"1.328/316.01227",11.595,3.5355
"0.924/346.55899",0.086412,-3.5326
"2.130/702.23356",0.086802,-3.5261
"0.739/483.11754",0.086854,-3.5253
"3.253/331.19114",0.087167,-3.5201
"2.778/363.17737",11.461,3.5187
"2.187/456.20849",11.43,3.5148
"0.460/176.92498",0.087604,-3.5129
"0.742/604.13007",0.087833,-3.5091
"0.624/267.10835",0.0885,-3.4982
"2.740/763.07280",11.245,3.4912
"2.177/552.13695",0.088963,-3.4906
"1.042/274.03840",11.233,3.4897
"0.869/357.05463",0.089389,-3.4838
"2.740/896.91903",11.174,3.4821
"2.282/445.26530",11.158,3.48
"2.696/792.39241",11.055,3.4667
"2.148/572.16033",0.090992,-3.4581
"2.219/366.13842",10.981,3.4569
"0.713/419.06229",0.091168,-3.4553
"2.221/524.23383",10.966,3.4549
"2.739/763.21953",10.936,3.451
"2.109/500.06825",0.092011,-3.4421
"2.169/397.18398",0.092228,-3.4387
"2.345/402.15793",0.092804,-3.4297
"0.826/332.12892",10.761,3.4277
"2.134/690.24387",0.093461,-3.4195
"0.654/266.00281",0.093481,-3.4192
"2.157/674.34845",0.093899,-3.4127
"2.652/879.42475",10.643,3.4118
"2.200/546.13489",0.094066,-3.4102
"2.724/389.17329",0.09438,-3.4054
"0.807/209.05668",0.095073,-3.3948
"2.180/322.14101",10.468,3.3879
"0.682/594.18015",0.095736,-3.3848
"2.220/727.36436",10.409,3.3798
"2.361/253.02891",10.375,3.3751
"0.555/152.97852",0.097826,-3.3536
"2.164/514.26234",10.189,3.349
"2.134/383.16854",10.157,3.3444
"2.151/491.06654",0.09885,-3.3386
"2.117/901.20172",0.099232,-3.333
"2.198/647.20505",10.024,3.3253
"0.573/483.13332",0.099889,-3.3235
"2.649/631.34877",0.10003,-3.3215
"0.593/305.01348",0.10038,-3.3164
"1.419/210.08917",0.10056,-3.3139
"2.145/574.27383",9.9017,3.3077
"2.704/1147.74149",9.879,3.3044
"0.741/953.27130",0.10127,-3.3038
"0.616/594.18109",0.10129,-3.3034
"2.778/731.32084",0.10132,-3.303
"0.581/289.99377",0.10139,-3.3021
"2.355/491.28790",9.8074,3.2939
"2.123/797.25949",0.10206,-3.2926
"2.114/443.14103",0.10222,-3.2903
"2.266/443.70775",9.7579,3.2866
"2.127/611.16097",0.10251,-3.2862
"2.150/461.22405",0.10316,-3.277
"0.453/368.80461",0.10333,-3.2746
"0.910/469.10106",0.10337,-3.2742
"0.458/372.04059",0.10347,-3.2728
"2.160/327.94590",0.10358,-3.2712
"2.478/891.38031",0.1038,-3.2682
"0.634/181.99518",9.618,3.2657
"0.867/482.11930",0.10399,-3.2655
"2.379/733.35945",0.10422,-3.2623
"2.244/515.28710",9.5587,3.2568
"0.667/775.10770",9.4716,3.2436
"2.118/279.05799",0.10624,-3.2347
"1.220/694.12456",0.10651,-3.2309
"0.452/546.05767",0.10672,-3.2281
"0.740/620.10368",0.10753,-3.2172
"0.585/392.90206",0.10867,-3.2019
"2.185/586.28363",9.1885,3.1998
"0.452/946.09441",9.1655,3.1962
"2.698/376.71693",9.1649,3.1961
"2.704/355.18717",9.118,3.1887
"0.557/325.01092",0.10981,-3.1869
"2.228/692.83940",9.1043,3.1865
"0.638/457.26340",9.0987,3.1857
"0.697/280.04247",0.1102,-3.1818
"1.039/643.33371",9.0584,3.1793
"1.101/266.16036",0.1105,-3.1779
"0.593/287.00246",0.1107,-3.1753
"3.144/265.14483",0.11079,-3.1741
"2.157/352.14987",8.9524,3.1623
"3.565/329.04585",8.8399,3.144
"1.042/627.35733",8.8382,3.1438
"2.311/768.26471",8.75,3.1293
"2.135/414.24157",8.7193,3.1242
"2.740/1084.29566",8.7174,3.1239
"0.982/844.28000",8.7096,3.1226
"0.756/434.19414",0.11498,-3.1205
"0.453/234.88054",0.11514,-3.1186
"2.740/1075.90528",8.5954,3.1036
"2.706/814.39037",8.5948,3.1035
"0.744/525.08914",0.11637,-3.1032
"0.870/346.56065",0.11639,-3.1029
"0.644/503.16069",0.11653,-3.1012
"2.651/271.11930",0.11684,-3.0974
"2.239/574.27296",8.5016,3.0877
"2.148/677.13087",8.4991,3.0873
"1.043/641.35173",8.4928,3.0862
"2.329/419.15933",0.11811,-3.0818
"0.452/624.00408",8.4423,3.0776
"2.262/500.27198",8.4245,3.0746
"2.130/316.18860",8.4064,3.0715
"0.750/541.00794",0.1192,-3.0686
"2.174/519.26844",8.3691,3.0651
"2.283/896.32445",8.2495,3.0443
"0.554/111.94586",0.1213,-3.0434
"0.687/406.98266",0.122,-3.035
"0.819/377.03409",8.1909,3.034
"3.444/357.20555",0.12236,-3.0308
"0.805/425.24867",8.1631,3.0291
"0.460/344.02923",0.12282,-3.0254
"0.543/340.00933",0.12287,-3.0248
"0.986/726.24579",8.132,3.0236
"0.774/613.07049",0.12328,-3.02
"2.135/544.13509",0.12395,-3.0122
"2.386/465.23391",8.0652,3.0117
"0.658/409.12981",0.12418,-3.0095
"2.188/399.27229",0.12438,-3.0071
"2.366/300.19271",0.12654,-2.9823
"2.297/680.34263",7.8854,2.9792
"2.389/342.23758",7.8486,2.9724
"2.243/647.30670",0.12915,-2.9529
"2.144/368.13914",7.7127,2.9472
"2.223/896.03847",0.12997,-2.9438
"0.767/587.20212",0.1302,-2.9412
"0.444/629.00679",0.13035,-2.9395
"0.677/330.04792",0.13107,-2.9315
"2.159/460.24039",7.6281,2.9313
"2.481/890.39167",0.13189,-2.9226
"0.835/726.24298",7.5676,2.9198
"0.684/539.94364",0.13282,-2.9125
"0.977/285.10964",0.13364,-2.9035
"1.144/360.14125",7.4746,2.902
"2.137/389.03382",0.13395,-2.9002
"0.729/257.07622",7.4568,2.8986
"0.557/102.05723",0.13419,-2.8977
"0.951/855.08573",0.13444,-2.895
"0.736/487.18292",0.1345,-2.8943
"0.744/149.02731",0.1346,-2.8933
"1.352/343.07216",0.1348,-2.8911
"0.457/318.85714",0.13499,-2.8891
"0.741/953.14665",0.13519,-2.887
"0.988/724.24678",7.387,2.885
"2.274/197.07555",0.13538,-2.8849
"0.460/145.06162",7.3345,2.8747
"1.599/316.01263",7.3345,2.8747
"1.052/201.12451",0.13653,-2.8727
"0.679/486.01140",0.13692,-2.8686
"2.702/1160.54595",0.13706,-2.8671
"1.060/144.01259",7.2892,2.8658
"0.560/153.54120",0.13828,-2.8543
"0.785/345.09431",0.13871,-2.8499
"0.672/553.04584",0.13923,-2.8445
"2.302/572.29586",7.1408,2.8361
"0.740/409.12452",0.14044,-2.832
"0.919/211.07196",0.14173,-2.8188
"0.939/1041.61567",0.14193,-2.8167
"2.996/164.07171",0.14217,-2.8143
"0.460/381.02081",7.0079,2.809
"0.838/608.07550",0.1428,-2.808
"2.124/525.23079",0.14295,-2.8064
"0.769/356.13279",0.14324,-2.8035
"2.135/688.20501",0.1433,-2.8029
"1.061/311.10120",0.14398,-2.7961
"2.380/831.46384",6.9167,2.7901
"0.576/665.09455",0.1447,-2.7889
"0.586/218.10440",6.8921,2.785
"2.180/229.15587",0.14542,-2.7817
"2.347/443.25049",0.14554,-2.7805
"0.810/328.15149",0.14584,-2.7776
