AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.610/127.00342	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.814/127.04022	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.562/127.05111	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/128.03518	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.558/128.03546	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.625/128.07206	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.565/129.01863	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.451/129.01906	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.480/129.05588	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.366/129.05608	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.769/129.68568	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.565/129.99438	2.306253507926771	1.2055511055859152	0.05161290322580645	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/130.03308	2.0007051483347107	1.0005085673542007	0.06088709677419355	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.635/130.03348	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.660/130.05145	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.769/130.08843	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.560/131.04604	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	6.018/131.08177	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.124/131.08295	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.994/131.08311	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.619/131.99120	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.310/132.02959	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.802/132.02994	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.557/132.02998	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/132.03046	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.556/132.94465	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/133.01411	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.726/134.04668	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.607/134.04736	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.345/134.04746	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.345/134.04761	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.164/134.04775	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/135.02952	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/135.02997	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.262/135.03127	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.702/135.04895	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.813/135.99752	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/136.99161	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.594/137.02441	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.686/138.01940	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.071/138.05638	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.344/138.06827	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.729/139.04982	NA	NA	NA	NA
