Metabolite	Method	Posthoc	statistic	ANOVA_p.value	ANOVA_padj	Clone1	Clone2	pvalue_posthoc
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	AC9.2	AC9.1	1
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	AC9.3	AC9.1	0.07608563381284894
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	AC9.3	AC9.2	0.07834036954546787
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	E30	AC9.1	0.07608563381284894
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	E30	AC9.2	0.07834036954546787
0.551/79.95733	ANOVA	Tukey's test	6.216071368788755	0.01741518277329681	1	E30	AC9.3	1
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	AC9.2	AC9.1	0.7559853905072101
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	AC9.3	AC9.1	0.013442845282942255
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	AC9.3	AC9.2	0.01733927400768918
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	E30	AC9.1	0.0950780842631019
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	E30	AC9.2	0.11747959599220774
0.460/79.95767	ANOVA	Tukey's test	8.805564458934642	0.006480259421155238	1	E30	AC9.3	0.28303248716863855
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.1	E30	1
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.2	E30	1
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.3	E30	1
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.1	AC9.3	1
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.2	AC9.3	1
0.564/88.04074	ANOVA	NA	3.994583190508348	0.05205258084321395	1	AC9.1	AC9.2	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.1	E30	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.2	E30	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.3	E30	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.1	AC9.3	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.2	AC9.3	1
0.461/96.66220	ANOVA	NA	0.3595737355481588	0.783976857862301	1	AC9.1	AC9.2	1
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	AC9.2	AC9.1	0.8638460527775991
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	AC9.3	AC9.1	0.015915901956026237
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	AC9.3	AC9.2	0.016893364345252935
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	E30	AC9.1	0.08953360046676608
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	E30	AC9.2	0.08953360046676608
0.460/96.96090	ANOVA	Tukey's test	8.744733167421595	0.006615492214464729	1	E30	AC9.3	0.3614014985461359
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	AC9.2	AC9.1	0.7645463447608345
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	AC9.3	AC9.1	0.0016525306872124162
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	AC9.3	AC9.2	0.0032072948946929984
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	E30	AC9.1	0.0016525306872124162
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	E30	AC9.2	0.0032072948946929984
0.460/98.95654	ANOVA	Tukey's test	21.422164100233523	3.5282168359804234e-4	0.39868850246578785	E30	AC9.3	0.918628874605916
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.1	E30	1
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.2	E30	1
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.3	E30	1
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.1	AC9.3	1
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.2	AC9.3	1
0.734/100.04023	ANOVA	NA	1.027757090341974	0.4303616978453722	1	AC9.1	AC9.2	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.1	E30	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.2	E30	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.3	E30	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.1	AC9.3	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.2	AC9.3	1
0.557/102.05723	ANOVA	NA	2.6031515224578254	0.12420133190079477	1	AC9.1	AC9.2	1
0.888/111.00922	ANOVA	NA	2.117085773312262	0.176317655068173	1	AC9.1	E30	1
