Metabolite Clone1 Clone2 log2FC plotContrast
4.374/60.07806 AC9.3 E30 -0.029001 "AC9.3 vs E30"
4.374/60.07806 AC9.1 AC9.3 0.24255 "AC9.1 vs AC9.3"
4.374/60.07806 AC9.2 AC9.3 0.092987 "AC9.2 vs AC9.3"
4.374/60.07806 AC9.1 AC9.2 0.14957 "AC9.1 vs AC9.2"
2.391/60.07810 AC9.1 E30 -0.22972 "AC9.1 vs E30"
2.391/60.07810 AC9.2 E30 -0.21859 "AC9.2 vs E30"
2.391/60.07810 AC9.3 E30 -0.078508 "AC9.3 vs E30"
2.391/60.07810 AC9.1 AC9.3 -0.15121 "AC9.1 vs AC9.3"
2.391/60.07810 AC9.2 AC9.3 -0.14008 "AC9.2 vs AC9.3"
2.391/60.07810 AC9.1 AC9.2 -0.011132 "AC9.1 vs AC9.2"
1.385/60.07852 AC9.1 E30 -0.36314 "AC9.1 vs E30"
1.385/60.07852 AC9.2 E30 -0.28601 "AC9.2 vs E30"
1.385/60.07852 AC9.3 E30 -0.23341 "AC9.3 vs E30"
1.385/60.07852 AC9.1 AC9.3 -0.12973 "AC9.1 vs AC9.3"
1.385/60.07852 AC9.2 AC9.3 -0.052605 "AC9.2 vs AC9.3"
1.385/60.07852 AC9.1 AC9.2 -0.077126 "AC9.1 vs AC9.2"
2.235/63.02369 AC9.1 E30 -0.053297 "AC9.1 vs E30"
2.235/63.02369 AC9.2 E30 0.084545 "AC9.2 vs E30"
2.235/63.02369 AC9.3 E30 0.069082 "AC9.3 vs E30"
2.235/63.02369 AC9.1 AC9.3 -0.12238 "AC9.1 vs AC9.3"
2.235/63.02369 AC9.2 AC9.3 0.015463 "AC9.2 vs AC9.3"
2.235/63.02369 AC9.1 AC9.2 -0.13784 "AC9.1 vs AC9.2"
2.136/63.02379 AC9.1 E30 -0.016121 "AC9.1 vs E30"
2.136/63.02379 AC9.2 E30 0.073802 "AC9.2 vs E30"
2.136/63.02379 AC9.3 E30 0.018578 "AC9.3 vs E30"
2.136/63.02379 AC9.1 AC9.3 -0.034699 "AC9.1 vs AC9.3"
2.136/63.02379 AC9.2 AC9.3 0.055224 "AC9.2 vs AC9.3"
2.136/63.02379 AC9.1 AC9.2 -0.089923 "AC9.1 vs AC9.2"
2.118/65.01964 AC9.1 E30 -0.25612 "AC9.1 vs E30"
2.118/65.01964 AC9.2 E30 0.18992 "AC9.2 vs E30"
2.118/65.01964 AC9.3 E30 -0.0097164 "AC9.3 vs E30"
2.118/65.01964 AC9.1 AC9.3 -0.2464 "AC9.1 vs AC9.3"
2.118/65.01964 AC9.2 AC9.3 0.19963 "AC9.2 vs AC9.3"
2.118/65.01964 AC9.1 AC9.2 -0.44603 "AC9.1 vs AC9.2"
5.535/66.01626 AC9.1 E30 0.019353 "AC9.1 vs E30"
5.535/66.01626 AC9.2 E30 -0.063798 "AC9.2 vs E30"
5.535/66.01626 AC9.3 E30 0.10675 "AC9.3 vs E30"
5.535/66.01626 AC9.1 AC9.3 -0.087399 "AC9.1 vs AC9.3"
5.535/66.01626 AC9.2 AC9.3 -0.17055 "AC9.2 vs AC9.3"
5.535/66.01626 AC9.1 AC9.2 0.083151 "AC9.1 vs AC9.2"
4.736/67.05180 AC9.1 E30 0.030283 "AC9.1 vs E30"
4.736/67.05180 AC9.2 E30 0.35528 "AC9.2 vs E30"
4.736/67.05180 AC9.3 E30 0.26596 "AC9.3 vs E30"
4.736/67.05180 AC9.1 AC9.3 -0.23568 "AC9.1 vs AC9.3"
4.736/67.05180 AC9.2 AC9.3 0.089313 "AC9.2 vs AC9.3"
4.736/67.05180 AC9.1 AC9.2 -0.32499 "AC9.1 vs AC9.2"
4.834/68.04637 AC9.1 E30 -0.030533 "AC9.1 vs E30"
4.834/68.04637 AC9.2 E30 -0.2395 "AC9.2 vs E30"
4.834/68.04637 AC9.3 E30 0.039718 "AC9.3 vs E30"
4.834/68.04637 AC9.1 AC9.3 -0.070251 "AC9.1 vs AC9.3"
4.834/68.04637 AC9.2 AC9.3 -0.27922 "AC9.2 vs AC9.3"
4.834/68.04637 AC9.1 AC9.2 0.20897 "AC9.1 vs AC9.2"
5.514/68.97974 AC9.1 E30 -0.019561 "AC9.1 vs E30"
5.514/68.97974 AC9.2 E30 -0.11792 "AC9.2 vs E30"
5.514/68.97974 AC9.3 E30 0.068204 "AC9.3 vs E30"
5.514/68.97974 AC9.1 AC9.3 -0.087765 "AC9.1 vs AC9.3"
5.514/68.97974 AC9.2 AC9.3 -0.18612 "AC9.2 vs AC9.3"
5.514/68.97974 AC9.1 AC9.2 0.098354 "AC9.1 vs AC9.2"
4.834/69.85110 AC9.1 E30 0.14294 "AC9.1 vs E30"
4.834/69.85110 AC9.2 E30 -0.085758 "AC9.2 vs E30"
4.834/69.85110 AC9.3 E30 0.35555 "AC9.3 vs E30"
4.834/69.85110 AC9.1 AC9.3 -0.21261 "AC9.1 vs AC9.3"
4.834/69.85110 AC9.2 AC9.3 -0.44131 "AC9.2 vs AC9.3"
4.834/69.85110 AC9.1 AC9.2 0.2287 "AC9.1 vs AC9.2"
4.250/70.02648 AC9.1 E30 0.13275 "AC9.1 vs E30"
4.250/70.02648 AC9.2 E30 -0.19141 "AC9.2 vs E30"
4.250/70.02648 AC9.3 E30 -0.69558 "AC9.3 vs E30"
4.250/70.02648 AC9.1 AC9.3 0.82833 "AC9.1 vs AC9.3"
4.250/70.02648 AC9.2 AC9.3 0.50417 "AC9.2 vs AC9.3"
4.250/70.02648 AC9.1 AC9.2 0.32416 "AC9.1 vs AC9.2"
0.785/70.06249 AC9.1 E30 0.1829 "AC9.1 vs E30"
0.785/70.06249 AC9.2 E30 -0.38429 "AC9.2 vs E30"
0.785/70.06249 AC9.3 E30 -0.61058 "AC9.3 vs E30"
0.785/70.06249 AC9.1 AC9.3 0.79348 "AC9.1 vs AC9.3"
0.785/70.06249 AC9.2 AC9.3 0.22629 "AC9.2 vs AC9.3"
0.785/70.06249 AC9.1 AC9.2 0.56719 "AC9.1 vs AC9.2"
4.721/70.06267 AC9.1 E30 -0.20706 "AC9.1 vs E30"
4.721/70.06267 AC9.2 E30 -0.043678 "AC9.2 vs E30"
4.721/70.06267 AC9.3 E30 0.056258 "AC9.3 vs E30"
4.721/70.06267 AC9.1 AC9.3 -0.26332 "AC9.1 vs AC9.3"
4.721/70.06267 AC9.2 AC9.3 -0.099935 "AC9.2 vs AC9.3"
4.721/70.06267 AC9.1 AC9.2 -0.16338 "AC9.1 vs AC9.2"
4.833/70.06374 AC9.1 E30 0.057347 "AC9.1 vs E30"
4.833/70.06374 AC9.2 E30 -0.17778 "AC9.2 vs E30"
4.833/70.06374 AC9.3 E30 0.20448 "AC9.3 vs E30"
4.833/70.06374 AC9.1 AC9.3 -0.14713 "AC9.1 vs AC9.3"
4.833/70.06374 AC9.2 AC9.3 -0.38226 "AC9.2 vs AC9.3"
4.833/70.06374 AC9.1 AC9.2 0.23513 "AC9.1 vs AC9.2"
0.760/72.04171 AC9.1 E30 -0.039431 "AC9.1 vs E30"
0.760/72.04171 AC9.2 E30 5.8742 "AC9.2 vs E30"
0.760/72.04171 AC9.3 E30 2.1161 "AC9.3 vs E30"
0.760/72.04171 AC9.1 AC9.3 -2.1555 "AC9.1 vs AC9.3"
0.760/72.04171 AC9.2 AC9.3 3.7581 "AC9.2 vs AC9.3"
0.760/72.04171 AC9.1 AC9.2 -5.9136 "AC9.1 vs AC9.2"
5.014/72.07869 AC9.1 E30 0.91494 "AC9.1 vs E30"
5.014/72.07869 AC9.2 E30 0.70619 "AC9.2 vs E30"
5.014/72.07869 AC9.3 E30 1.1247 "AC9.3 vs E30"
5.014/72.07869 AC9.1 AC9.3 -0.20975 "AC9.1 vs AC9.3"
5.014/72.07869 AC9.2 AC9.3 -0.4185 "AC9.2 vs AC9.3"
5.014/72.07869 AC9.1 AC9.2 0.20876 "AC9.1 vs AC9.2"
2.257/73.02557 AC9.1 E30 0.039559 "AC9.1 vs E30"
2.257/73.02557 AC9.2 E30 -0.0078507 "AC9.2 vs E30"
2.257/73.02557 AC9.3 E30 0.18262 "AC9.3 vs E30"
2.257/73.02557 AC9.1 AC9.3 -0.14307 "AC9.1 vs AC9.3"
2.257/73.02557 AC9.2 AC9.3 -0.19048 "AC9.2 vs AC9.3"
2.257/73.02557 AC9.1 AC9.2 0.047409 "AC9.1 vs AC9.2"
2.141/73.02665 AC9.1 E30 -0.091182 "AC9.1 vs E30"
2.141/73.02665 AC9.2 E30 -0.053675 "AC9.2 vs E30"
2.141/73.02665 AC9.3 E30 -0.029002 "AC9.3 vs E30"
2.141/73.02665 AC9.1 AC9.3 -0.06218 "AC9.1 vs AC9.3"
2.141/73.02665 AC9.2 AC9.3 -0.024672 "AC9.2 vs AC9.3"
2.141/73.02665 AC9.1 AC9.2 -0.037507 "AC9.1 vs AC9.2"
4.259/74.02140 AC9.1 E30 0.28034 "AC9.1 vs E30"
4.259/74.02140 AC9.2 E30 -0.14883 "AC9.2 vs E30"
4.259/74.02140 AC9.3 E30 -0.63542 "AC9.3 vs E30"
4.259/74.02140 AC9.1 AC9.3 0.91575 "AC9.1 vs AC9.3"
4.259/74.02140 AC9.2 AC9.3 0.48659 "AC9.2 vs AC9.3"
4.259/74.02140 AC9.1 AC9.2 0.42916 "AC9.1 vs AC9.2"
1.165/74.09402 AC9.1 E30 0.23384 "AC9.1 vs E30"
1.165/74.09402 AC9.2 E30 0.71438 "AC9.2 vs E30"
1.165/74.09402 AC9.3 E30 -0.68053 "AC9.3 vs E30"
1.165/74.09402 AC9.1 AC9.3 0.91437 "AC9.1 vs AC9.3"
1.165/74.09402 AC9.2 AC9.3 1.3949 "AC9.2 vs AC9.3"
1.165/74.09402 AC9.1 AC9.2 -0.48054 "AC9.1 vs AC9.2"
4.723/75.07301 AC9.1 E30 -0.2638 "AC9.1 vs E30"
4.723/75.07301 AC9.2 E30 -0.34157 "AC9.2 vs E30"
4.723/75.07301 AC9.3 E30 -0.16003 "AC9.3 vs E30"
4.723/75.07301 AC9.1 AC9.3 -0.10377 "AC9.1 vs AC9.3"
4.723/75.07301 AC9.2 AC9.3 -0.18154 "AC9.2 vs AC9.3"
4.723/75.07301 AC9.1 AC9.2 0.077768 "AC9.1 vs AC9.2"
4.913/81.04237 AC9.1 E30 1.0219 "AC9.1 vs E30"
4.913/81.04237 AC9.2 E30 0.61353 "AC9.2 vs E30"
4.913/81.04237 AC9.3 E30 0.4537 "AC9.3 vs E30"
4.913/81.04237 AC9.1 AC9.3 0.56816 "AC9.1 vs AC9.3"
4.913/81.04237 AC9.2 AC9.3 0.15982 "AC9.2 vs AC9.3"
4.913/81.04237 AC9.1 AC9.2 0.40834 "AC9.1 vs AC9.2"
4.647/81.04247 AC9.1 E30 -0.061272 "AC9.1 vs E30"
4.647/81.04247 AC9.2 E30 -0.45158 "AC9.2 vs E30"
4.647/81.04247 AC9.3 E30 -0.16893 "AC9.3 vs E30"
4.647/81.04247 AC9.1 AC9.3 0.10766 "AC9.1 vs AC9.3"
4.647/81.04247 AC9.2 AC9.3 -0.28265 "AC9.2 vs AC9.3"
4.647/81.04247 AC9.1 AC9.2 0.39031 "AC9.1 vs AC9.2"
5.675/82.01152 AC9.1 E30 0.014536 "AC9.1 vs E30"
5.675/82.01152 AC9.2 E30 -0.043027 "AC9.2 vs E30"
5.675/82.01152 AC9.3 E30 0.03242 "AC9.3 vs E30"
5.675/82.01152 AC9.1 AC9.3 -0.017885 "AC9.1 vs AC9.3"
5.675/82.01152 AC9.2 AC9.3 -0.075447 "AC9.2 vs AC9.3"
5.675/82.01152 AC9.1 AC9.2 0.057562 "AC9.1 vs AC9.2"
4.649/82.05002 AC9.1 E30 0.052594 "AC9.1 vs E30"
4.649/82.05002 AC9.2 E30 -0.18279 "AC9.2 vs E30"
4.649/82.05002 AC9.3 E30 0.024544 "AC9.3 vs E30"
4.649/82.05002 AC9.1 AC9.3 0.02805 "AC9.1 vs AC9.3"
4.649/82.05002 AC9.2 AC9.3 -0.20733 "AC9.2 vs AC9.3"
4.649/82.05002 AC9.1 AC9.2 0.23538 "AC9.1 vs AC9.2"
4.383/82.06227 AC9.1 E30 -0.19256 "AC9.1 vs E30"
4.383/82.06227 AC9.2 E30 -0.40374 "AC9.2 vs E30"
4.383/82.06227 AC9.3 E30 -0.62819 "AC9.3 vs E30"
4.383/82.06227 AC9.1 AC9.3 0.43563 "AC9.1 vs AC9.3"
4.383/82.06227 AC9.2 AC9.3 0.22444 "AC9.2 vs AC9.3"
4.383/82.06227 AC9.1 AC9.2 0.21118 "AC9.1 vs AC9.2"
4.646/83.05840 AC9.1 E30 -0.11111 "AC9.1 vs E30"
4.646/83.05840 AC9.2 E30 -0.28612 "AC9.2 vs E30"
4.646/83.05840 AC9.3 E30 -0.1821 "AC9.3 vs E30"
4.646/83.05840 AC9.1 AC9.3 0.070985 "AC9.1 vs AC9.3"
4.646/83.05840 AC9.2 AC9.3 -0.10402 "AC9.2 vs AC9.3"
4.646/83.05840 AC9.1 AC9.2 0.17501 "AC9.1 vs AC9.2"
0.652/84.04155 AC9.1 E30 0.40874 "AC9.1 vs E30"
0.652/84.04155 AC9.2 E30 0.69518 "AC9.2 vs E30"
0.652/84.04155 AC9.3 E30 -0.26805 "AC9.3 vs E30"
0.652/84.04155 AC9.1 AC9.3 0.67679 "AC9.1 vs AC9.3"
0.652/84.04155 AC9.2 AC9.3 0.96323 "AC9.2 vs AC9.3"
0.652/84.04155 AC9.1 AC9.2 -0.28644 "AC9.1 vs AC9.2"
4.737/84.07846 AC9.1 E30 -0.036724 "AC9.1 vs E30"
4.737/84.07846 AC9.2 E30 0.030338 "AC9.2 vs E30"
4.737/84.07846 AC9.3 E30 -0.076125 "AC9.3 vs E30"
4.737/84.07846 AC9.1 AC9.3 0.039402 "AC9.1 vs AC9.3"
4.737/84.07846 AC9.2 AC9.3 0.10646 "AC9.2 vs AC9.3"
4.737/84.07846 AC9.1 AC9.2 -0.067062 "AC9.1 vs AC9.2"
4.371/84.07867 AC9.1 E30 0.088739 "AC9.1 vs E30"
4.371/84.07867 AC9.2 E30 0.050197 "AC9.2 vs E30"
4.371/84.07867 AC9.3 E30 0.16772 "AC9.3 vs E30"
4.371/84.07867 AC9.1 AC9.3 -0.078978 "AC9.1 vs AC9.3"
4.371/84.07867 AC9.2 AC9.3 -0.11752 "AC9.2 vs AC9.3"
4.371/84.07867 AC9.1 AC9.2 0.038542 "AC9.1 vs AC9.2"
0.776/85.02550 AC9.1 E30 -0.059538 "AC9.1 vs E30"
0.776/85.02550 AC9.2 E30 -0.024401 "AC9.2 vs E30"
0.776/85.02550 AC9.3 E30 0.058712 "AC9.3 vs E30"
0.776/85.02550 AC9.1 AC9.3 -0.11825 "AC9.1 vs AC9.3"
0.776/85.02550 AC9.2 AC9.3 -0.083112 "AC9.2 vs AC9.3"
0.776/85.02550 AC9.1 AC9.2 -0.035137 "AC9.1 vs AC9.2"
0.644/85.02602 AC9.1 E30 0.60541 "AC9.1 vs E30"
0.644/85.02602 AC9.2 E30 0.5497 "AC9.2 vs E30"
0.644/85.02602 AC9.3 E30 1.1293 "AC9.3 vs E30"
0.644/85.02602 AC9.1 AC9.3 -0.52388 "AC9.1 vs AC9.3"
0.644/85.02602 AC9.2 AC9.3 -0.5796 "AC9.2 vs AC9.3"
0.644/85.02602 AC9.1 AC9.2 0.055717 "AC9.1 vs AC9.2"
1.249/85.02618 AC9.1 E30 -0.16946 "AC9.1 vs E30"
1.249/85.02618 AC9.2 E30 -0.30794 "AC9.2 vs E30"
1.249/85.02618 AC9.3 E30 -0.28918 "AC9.3 vs E30"
1.249/85.02618 AC9.1 AC9.3 0.11972 "AC9.1 vs AC9.3"
1.249/85.02618 AC9.2 AC9.3 -0.018757 "AC9.2 vs AC9.3"
1.249/85.02618 AC9.1 AC9.2 0.13848 "AC9.1 vs AC9.2"
1.494/85.07391 AC9.1 E30 0.56067 "AC9.1 vs E30"
1.494/85.07391 AC9.2 E30 0.18095 "AC9.2 vs E30"
1.494/85.07391 AC9.3 E30 1.1439 "AC9.3 vs E30"
1.494/85.07391 AC9.1 AC9.3 -0.58322 "AC9.1 vs AC9.3"
1.494/85.07391 AC9.2 AC9.3 -0.96294 "AC9.2 vs AC9.3"
1.494/85.07391 AC9.1 AC9.2 0.37972 "AC9.1 vs AC9.2"
1.052/86.05758 AC9.1 E30 0.36977 "AC9.1 vs E30"
1.052/86.05758 AC9.2 E30 0.32938 "AC9.2 vs E30"
1.052/86.05758 AC9.3 E30 0.018577 "AC9.3 vs E30"
1.052/86.05758 AC9.1 AC9.3 0.35119 "AC9.1 vs AC9.3"
1.052/86.05758 AC9.2 AC9.3 0.3108 "AC9.2 vs AC9.3"
1.052/86.05758 AC9.1 AC9.2 0.040389 "AC9.1 vs AC9.2"
0.899/86.05797 AC9.1 E30 0.47111 "AC9.1 vs E30"
0.899/86.05797 AC9.2 E30 -0.065003 "AC9.2 vs E30"
0.899/86.05797 AC9.3 E30 0.041292 "AC9.3 vs E30"
0.899/86.05797 AC9.1 AC9.3 0.42981 "AC9.1 vs AC9.3"
0.899/86.05797 AC9.2 AC9.3 -0.1063 "AC9.2 vs AC9.3"
0.899/86.05797 AC9.1 AC9.2 0.53611 "AC9.1 vs AC9.2"
0.631/86.09385 AC9.1 E30 0.056825 "AC9.1 vs E30"
0.631/86.09385 AC9.2 E30 -0.23133 "AC9.2 vs E30"
0.631/86.09385 AC9.3 E30 -0.16306 "AC9.3 vs E30"
0.631/86.09385 AC9.1 AC9.3 0.21988 "AC9.1 vs AC9.3"
0.631/86.09385 AC9.2 AC9.3 -0.068277 "AC9.2 vs AC9.3"
0.631/86.09385 AC9.1 AC9.2 0.28816 "AC9.1 vs AC9.2"
2.131/87.04051 AC9.1 E30 -0.15454 "AC9.1 vs E30"
2.131/87.04051 AC9.2 E30 -0.036632 "AC9.2 vs E30"
2.131/87.04051 AC9.3 E30 -0.28684 "AC9.3 vs E30"
2.131/87.04051 AC9.1 AC9.3 0.1323 "AC9.1 vs AC9.3"
2.131/87.04051 AC9.2 AC9.3 0.25021 "AC9.2 vs AC9.3"
2.131/87.04051 AC9.1 AC9.2 -0.11791 "AC9.1 vs AC9.2"
0.687/87.04142 AC9.1 E30 1.1392 "AC9.1 vs E30"
0.687/87.04142 AC9.2 E30 1.1971 "AC9.2 vs E30"
0.687/87.04142 AC9.3 E30 1.0416 "AC9.3 vs E30"
0.687/87.04142 AC9.1 AC9.3 0.09766 "AC9.1 vs AC9.3"
0.687/87.04142 AC9.2 AC9.3 0.15547 "AC9.2 vs AC9.3"
0.687/87.04142 AC9.1 AC9.2 -0.057811 "AC9.1 vs AC9.2"
1.419/87.04150 AC9.1 E30 -0.30099 "AC9.1 vs E30"
1.419/87.04150 AC9.2 E30 -0.61039 "AC9.2 vs E30"
1.419/87.04150 AC9.3 E30 -0.39861 "AC9.3 vs E30"
1.419/87.04150 AC9.1 AC9.3 0.097622 "AC9.1 vs AC9.3"
1.419/87.04150 AC9.2 AC9.3 -0.21178 "AC9.2 vs AC9.3"
1.419/87.04150 AC9.1 AC9.2 0.30941 "AC9.1 vs AC9.2"
4.247/87.05314 AC9.1 E30 0.25691 "AC9.1 vs E30"
4.247/87.05314 AC9.2 E30 -0.090275 "AC9.2 vs E30"
4.247/87.05314 AC9.3 E30 -0.86011 "AC9.3 vs E30"
4.247/87.05314 AC9.1 AC9.3 1.117 "AC9.1 vs AC9.3"
4.247/87.05314 AC9.2 AC9.3 0.76983 "AC9.2 vs AC9.3"
4.247/87.05314 AC9.1 AC9.2 0.34719 "AC9.1 vs AC9.2"
4.258/88.03725 AC9.1 E30 0.32482 "AC9.1 vs E30"
4.258/88.03725 AC9.2 E30 -0.0016765 "AC9.2 vs E30"
4.258/88.03725 AC9.3 E30 -0.48809 "AC9.3 vs E30"
4.258/88.03725 AC9.1 AC9.3 0.81291 "AC9.1 vs AC9.3"
4.258/88.03725 AC9.2 AC9.3 0.48641 "AC9.2 vs AC9.3"
4.258/88.03725 AC9.1 AC9.2 0.3265 "AC9.1 vs AC9.2"
5.010/89.10427 AC9.1 E30 0.28366 "AC9.1 vs E30"
5.010/89.10427 AC9.2 E30 -0.1511 "AC9.2 vs E30"
5.010/89.10427 AC9.3 E30 0.77539 "AC9.3 vs E30"
5.010/89.10427 AC9.1 AC9.3 -0.49173 "AC9.1 vs AC9.3"
5.010/89.10427 AC9.2 AC9.3 -0.92649 "AC9.2 vs AC9.3"
5.010/89.10427 AC9.1 AC9.2 0.43476 "AC9.1 vs AC9.2"
3.663/90.05256 AC9.1 E30 -0.95916 "AC9.1 vs E30"
3.663/90.05256 AC9.2 E30 -0.99322 "AC9.2 vs E30"
