"","Fold Change","log2(FC)"
"3.681/257.99636",1789,10.805
"4.777/435.19249",0.0017831,-9.1314
"0.635/543.45428",366.8,8.5189
"4.441/245.19778",0.0029163,-8.4216
"1.287/519.02265",215.15,7.7492
"0.627/409.72078",0.0051343,-7.6056
"0.633/809.49067",121.3,6.9224
"0.627/421.77345",0.008572,-6.8662
"0.635/368.72766",0.009574,-6.7067
"3.660/160.10731",0.0098591,-6.6643
"5.043/627.34693",99.214,6.6325
"3.674/290.06889",98.553,6.6228
"0.632/609.46870",95.743,6.5811
"3.671/161.16311",0.013438,-6.2175
"0.634/307.23194",67.805,6.0833
"0.642/587.24541",66.623,6.0579
"1.994/144.10112",64.199,6.0045
"0.510/400.81354",62.58,5.9676
"0.510/754.58924",61.518,5.9429
"0.639/561.46705",59.085,5.8847
"3.673/231.14738",0.017106,-5.8693
"4.481/349.97607",0.017399,-5.8448
"0.590/631.24914",54.504,5.7683
"5.321/336.14979",53.856,5.751
"3.666/264.15985",0.018624,-5.7467
"3.677/172.10741",0.0188,-5.7331
"4.360/395.10112",0.019233,-5.7002
"2.077/278.14612",44.506,5.4759
"0.665/625.30268",0.022512,-5.4732
"3.677/302.11708",0.022533,-5.4718
"5.293/485.15474",43.951,5.4578
"0.535/697.41343",42.083,5.3952
"5.302/383.22537",41.909,5.3892
"0.727/716.96377",0.023945,-5.3841
"4.441/99.08926",0.02443,-5.3552
"1.992/263.19987",39.995,5.3217
"0.509/419.79466",39.98,5.3212
"2.368/252.12830",38.97,5.2843
"2.310/424.12921",38.588,5.2701
"1.998/182.05780",38.266,5.258
"0.569/704.54347",0.026475,-5.2392
"5.327/537.11286",37.149,5.2153
"0.516/386.79707",37.094,5.2131
"0.518/387.80635",35.964,5.1685
"0.510/800.62669",35.066,5.132
"0.657/669.33248",0.028631,-5.1263
"5.568/595.24476",34.751,5.119
"3.677/221.99404",32.805,5.0359
"0.727/562.86336",0.030961,-5.0134
"0.535/582.42329",31.028,4.9555
"1.023/352.13229",28.683,4.8421
"0.710/605.80713",0.035503,-4.8159
"0.619/305.11028",0.035756,-4.8057
"1.285/391.93985",27.778,4.7959
"0.710/216.23345",25.907,4.6953
"2.510/260.37129",24.449,4.6117
"2.060/158.11632",24.094,4.5906
"2.306/292.16097",24.063,4.5888
"2.494/287.20054",22.994,4.5232
"1.152/174.12435",22.865,4.5151
"3.678/158.03948",20.205,4.3367
"4.556/277.14248",19.72,4.3016
"2.477/181.50157",19.136,4.2582
"5.418/218.18725",0.052445,-4.253
"2.327/204.12307",18.793,4.2321
"3.676/156.04205",18.658,4.2218
