"","Fold Change","log2(FC)"
"0.798/181.10833",0.11516,-3.1183
"0.800/132.13684",8.5234,3.0914
"2.397/343.16825",8.4861,3.0851
"0.660/276.21043",0.11803,-3.0827
"4.328/337.15079",0.11825,-3.0801
"4.684/341.05933",0.11982,-3.061
"2.915/152.07027",0.12144,-3.0417
"1.109/461.14628",8.218,3.0388
"0.577/223.12149",8.2102,3.0374
"4.441/99.08926",0.12221,-3.0326
"1.101/115.04833",8.1771,3.0316
"1.051/285.01650",8.1143,3.0205
"2.364/361.18063",0.12369,-3.0152
"4.913/81.04237",8.0436,3.0078
"2.302/692.21991",8.0323,3.0058
"4.772/396.20070",7.9882,2.9979
"2.355/316.10090",7.9728,2.9951
"1.126/453.26051",0.1257,-2.992
"0.760/281.16392",7.9548,2.9918
"4.672/144.03886",7.9426,2.9896
"1.150/485.36573",7.9048,2.9827
"4.547/345.08441",0.12658,-2.9818
"1.934/212.10305",7.8426,2.9713
"5.363/303.21662",7.8307,2.9691
"4.915/401.20502",7.8255,2.9682
"0.760/326.22376",7.4764,2.9024
"4.834/352.08596",0.1342,-2.8975
"4.670/216.06571",7.3748,2.8826
"4.780/299.69770",0.13592,-2.8791
"0.744/576.34168",7.3186,2.8716
"0.708/180.15772",0.13707,-2.867
"4.675/262.14338",7.2615,2.8603
"5.586/331.22645",7.2528,2.8585
"1.535/203.13995",7.2347,2.8549
"5.175/319.17727",7.2235,2.8527
"5.117/426.21946",7.133,2.8345
"0.510/406.78620",0.14088,-2.8274
"4.423/266.10936",0.14111,-2.8251
"0.629/608.40473",7.0561,2.8189
"5.587/166.11380",7.0384,2.8152
"5.373/317.23474",6.9106,2.7888
"4.770/324.96222",0.14548,-2.7811
"4.947/295.15443",0.14677,-2.7683
"4.321/182.04455",0.14794,-2.7569
"4.769/401.20471",6.7311,2.7508
"4.704/261.15944",6.697,2.7435
"0.652/144.06384",6.6957,2.7432
"3.677/302.11708",0.15068,-2.7304
"0.685/221.16687",6.6086,2.7244
"2.339/184.09459",0.15143,-2.7233
"2.387/102.09030",0.15205,-2.7174
"4.643/337.08644",0.15222,-2.7158
"4.419/338.15577",0.15238,-2.7143
"2.210/564.25175",0.15355,-2.7032
"4.753/234.14693",6.5121,2.7031
"0.744/597.27213",6.4748,2.6948
"1.506/244.20451",0.15662,-2.6747
"4.758/368.12880",0.15875,-2.6552
"4.690/188.17623",6.2799,2.6507
"4.923/396.19978",6.1919,2.6304
"3.671/123.07254",0.16164,-2.6292
"4.645/272.17541",6.1476,2.62
"1.123/160.10622",6.0705,2.6018
"4.443/214.06536",0.16847,-2.5694
"4.815/209.00941",0.16852,-2.569
"0.644/163.11123",5.922,2.5661
"0.693/100.07365",5.9104,2.5633
"0.610/208.18127",5.9009,2.5609
"5.177/225.16513",5.7515,2.5239
"4.671/303.11741",0.17603,-2.5061
"1.592/244.20377",0.17675,-2.5002
"5.368/232.20460",5.6283,2.4927
"6.145/184.07412",5.5562,2.4741
"5.452/265.01923",0.18409,-2.4415
"2.923/231.11408",0.18504,-2.4341
"0.642/587.24541",0.1916,-2.3838
"4.662/290.18601",5.0884,2.3472
"3.677/144.04646",0.19657,-2.3469
"3.671/265.11646",0.21442,-2.2215
