"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1.105/126.64342",-0.015533,-0.0024432,0.010137,0.049107,0.014743,0.011691,0.013649,-0.010348,-0.016139,-0.0042634,0.0016527,0.0013398
"1.103/127.03197",-0.012753,0.010304,-0.012957,-0.0002004,-0.012801,0.011637,0.0077718,-0.019349,-0.0027247,-0.023989,0.0037603,-4.032e-06
"1.720/128.04010",-0.015466,0.0071326,0.0043508,0.020785,0.026704,0.039815,0.014597,-0.0010186,0.01968,-0.0020442,0.00090031,0.0054045
"1.609/128.04024",-0.025545,0.0038859,0.0045507,0.016746,-0.013842,0.014115,-0.003285,0.032171,0.018025,0.024907,0.023138,0.0023391
"0.832/129.01836",-0.024888,-0.028506,-0.004041,-0.061237,0.0020409,0.016474,0.0085801,-0.031739,0.0058781,0.0093381,0.0059494,0.0077979
"1.154/129.58223",0.0046849,-0.029532,-0.00058989,0.0065156,-0.0053188,0.0035661,0.034389,0.0060898,-0.047787,0.016951,0.022445,0.002737
"0.809/130.04998",-0.0049089,0.01695,-0.019133,0.022997,-0.009589,0.014666,0.014713,-0.013377,0.011248,-0.022231,0.018126,0.003971
"1.078/130.08636",0.0039733,0.013477,-0.020182,0.006865,-0.01383,-0.00080832,-0.012219,-0.0068869,0.0026564,0.010829,0.016824,0.00049985
"1.377/131.69673",0.001788,-0.011948,0.00038489,0.021011,0.0064388,0.012904,0.0035208,-0.0021003,-0.0087691,0.0045969,0.0081379,-0.0011262
"1.011/132.01959",-0.0076781,-0.0041998,0.00475,-0.0033181,-0.014202,-0.048304,-0.023746,-0.020839,-0.012341,-0.0043573,-0.039739,-0.0017562
"0.906/132.10095",-0.0075561,-0.02121,0.00077306,0.003135,0.014033,-0.0022031,-0.0038022,-0.010215,0.026644,0.01197,-0.014042,-0.00079155
"1.377/132.10230",0.0012685,-0.008438,0.015384,0.0091262,0.0046649,0.0074985,-0.0019327,-0.011618,-0.015219,0.0023298,0.025443,-0.00043761
"1.044/133.03118",0.0061293,0.014613,0.0088109,-0.0063989,0.0028667,0.0050716,0.0035331,-0.0013142,-0.034263,-0.044226,0.0042712,0.0014818
"0.647/133.50006",0.0044229,0.0028009,-0.0046232,0.03708,0.010059,0.0041589,0.012549,0.014759,0.0083518,0.037627,0.011524,-0.00017648
"0.863/134.63288",0.0082824,-0.0040726,0.002869,0.025566,0.034431,-0.00060189,-0.037626,-0.0078283,-0.0096738,0.033454,0.002491,-0.0040021
"0.862/135.04712",0.0090216,0.0010569,0.0028633,0.017036,0.018751,0.0048477,-0.019611,-0.011505,0.0020723,-0.00019322,-0.0062007,-0.00021503
"0.649/135.46610",0.010838,0.010357,-0.0033236,-0.00019407,0.014947,-0.001464,0.012754,-0.024017,-0.0065702,-0.010345,0.0013859,0.00027018
"1.373/136.07594",-0.0052882,0.0041268,0.013532,0.011888,-0.0011499,0.027631,0.017982,-0.00204,0.0027743,-0.010893,-0.0037996,0.00076482
"2.328/136.62534",-0.00017212,-0.00041009,0.022067,0.017524,0.014786,0.003614,0.0039506,-0.012574,-0.016919,-0.014581,0.020826,-0.0037716
"0.863/137.04356",0.010984,-0.0060243,-0.00010023,0.019531,0.021268,0.0021326,-0.022378,-0.010533,-0.0026913,-0.0047073,-0.0060084,-0.00056006
"2.327/137.04577",-0.0036597,-0.01202,0.02587,0.015596,0.010709,0.0080513,0.0050401,0.0022693,-0.0023837,0.0063937,-0.011494,-0.00015288
"2.631/138.59437",0.010291,-0.016494,0.039373,-0.0022248,0.023952,0.010966,0.0048547,-0.0087259,-0.0058386,0.0027414,0.0040028,-0.002809
"0.830/139.00250",-0.016145,-0.030964,-0.00030025,-0.056632,0.0057438,0.0053822,0.012855,-0.024882,0.0017619,0.0090732,0.008371,-0.004252
"0.842/141.01794",-0.05497,-0.029402,-0.010709,-0.064517,-0.014419,0.025114,0.01178,-0.028283,0.021463,0.016834,-0.0024365,0.0041169
"2.792/143.02683",0.02098,0.033843,0.061995,0.052929,0.034202,0.0069715,-0.055443,0.046516,0.084438,0.0074503,0.055753,0.00026029
"1.715/143.02717",-0.013331,-0.0082902,0.0024612,-0.0074474,0.065262,0.079476,0.035319,0.095696,-0.014329,0.057338,-0.015665,-0.0024878
"2.709/143.02735",0.0036161,0.0078477,0.044587,0.027724,0.008128,0.017157,-0.028519,0.025368,0.064142,0.021261,0.07498,0.0048885
"1.102/143.04317",-0.0020329,-0.011804,-0.0067076,-0.0054233,-0.051486,0.017986,0.0017334,0.016442,0.0089417,0.042542,-0.018266,-0.0056293
"1.187/143.65857",-0.052179,-0.029706,0.15248,0.0030417,-0.022548,0.051331,0.018333,-0.032517,-0.045672,-0.0095072,-0.00072472,0.0013746
"1.222/144.10166",-0.055294,-0.021915,0.12216,-0.0018223,-0.029579,0.035369,0.049603,-0.036794,-0.049626,0.0045969,-0.048101,-0.0080123
"1.456/144.61765",0.0056089,0.019002,-0.0014342,0.0018332,0.013571,0.013884,0.0013208,-0.01558,0.01383,-0.021195,0.014814,-0.00039633
"1.270/145.04927",-0.00055383,0.018531,-0.005286,0.0027977,0.027663,-0.011041,-0.018076,0.0047619,0.027908,-0.05012,-0.011193,0.0028326
"1.188/145.13261",0.0024443,0.026498,-0.055876,0.00036485,-0.037348,-0.0051498,0.00043983,0.077983,0.018852,0.046768,-0.056479,-0.0070512
"1.689/146.02682",0.0043185,-0.029027,-0.011087,-0.0016959,0.030649,-0.0042625,0.040222,0.041883,-0.00049383,0.028566,-0.0029203,9.447e-05
"2.778/146.05974",-0.012554,-0.0043268,-0.0017465,0.00316,0.00044611,-0.010101,0.030122,-0.043251,-0.0022767,0.029994,-0.016849,-0.00087763
"0.827/146.08177",0.0028362,-0.0035102,0.033214,0.011055,0.011557,0.0024001,0.012628,0.013479,-0.005257,-0.012562,0.0085104,-0.0027151
"0.594/146.16478",0.0032789,0.0049708,-0.0020962,0.0014201,0.0085852,-0.031068,-0.017406,-0.0073153,-0.037644,-0.0083081,-0.0029827,-0.0021979
"0.813/147.60583",-0.0077928,0.017267,-0.020517,-0.01264,-0.0050418,0.010874,0.014605,-0.0037743,-0.017967,-0.019512,0.011691,0.0022434
"1.236/147.64167",-0.010795,-0.013082,-0.013697,0.014705,-0.021851,0.028097,0.031206,-0.018635,0.0028956,0.010816,0.032854,-0.001345
"0.812/148.06032",-0.0058297,0.018493,-0.003197,-0.013231,-0.011845,-0.0069076,0.021014,0.014863,-0.010782,-0.01985,0.0015845,0.00085041
"1.235/148.09722",-0.012788,-0.011031,-0.012037,0.018886,-0.016427,0.015995,0.0082213,-0.0028707,-0.0076122,0.01984,0.02173,-0.00050245
"0.645/149.46833",0.0084497,0.011093,-0.0090172,0.0093162,0.0061754,0.019466,0.0051612,-0.0087844,-0.027776,0.022097,0.00966,-0.00041818
"1.045/150.05729",-0.00021608,0.017149,0.019939,-0.012032,0.0041444,-0.00094149,-0.0047255,-0.0029083,-0.032031,-0.016342,-0.013884,-0.00037023
"1.402/150.07703",0.039719,0.0060305,0.01265,-0.014463,0.031795,0.0013618,0.0079791,-0.010889,-0.0024817,0.0084504,-0.00077991,0.00050712
