"",f.value,p.value,-log10(p),FDR,Fisher's LSD
2.897/246.09376,9.5931,0.0026377,2.5788,0.017495,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - QC; AC9.3 - E30; AC9.3 - QC
5.115/272.13848,9.5755,0.0026546,2.576,0.017539,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - E30; AC9.3 - E30; QC - E30
0.598/453.18038,9.5042,0.0027248,2.5647,0.01793,AC9.3 - AC9.1; AC9.1 - E30; QC - AC9.1; AC9.3 - AC9.2; QC - AC9.2; AC9.3 - E30; QC - E30
2.232/176.12853,9.493,0.0027361,2.5629,0.01793,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; QC - E30
5.985/184.07492,9.4779,0.0027513,2.5605,0.01793,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - QC; E30 - AC9.2; E30 - AC9.3
4.798/363.24092,9.4711,0.0027582,2.5594,0.01793,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
4.554/161.12776,9.4628,0.0027666,2.558,0.01793,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC; QC - E30
4.307/348.07992,9.4501,0.0027796,2.556,0.017946,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; E30 - AC9.3; E30 - QC
0.644/163.11123,9.4225,0.002808,2.5516,0.018061,AC9.1 - AC9.2; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - QC
4.758/368.12880,9.3642,0.0028693,2.5422,0.018385,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
4.913/81.04237,9.3437,0.0028913,2.5389,0.018427,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - E30; AC9.3 - E30
3.658/135.04639,9.3372,0.0028983,2.5379,0.018427,AC9.2 - AC9.1; AC9.3 - AC9.1; QC - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
1.118/202.08686,9.3142,0.0029232,2.5341,0.018427,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.569/189.12884,9.2999,0.0029389,2.5318,0.018427,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; E30 - QC
2.148/577.13362,9.2995,0.0029393,2.5318,0.018427,AC9.3 - AC9.1; QC - AC9.1; AC9.2 - E30; QC - AC9.2; AC9.3 - E30; QC - E30
4.893/322.09790,9.2926,0.0029469,2.5306,0.018427,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.431/427.17400,9.2793,0.0029615,2.5285,0.018427,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
5.285/475.12571,9.2784,0.0029626,2.5283,0.018427,AC9.3 - AC9.1; AC9.1 - E30; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC; QC - E30
4.324/285.07467,9.1969,0.0030545,2.5151,0.018929,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
5.357/310.19225,9.1814,0.0030724,2.5125,0.01897,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
4.411/222.03162,9.0937,0.003176,2.4981,0.019539,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
2.882/255.13699,9.0648,0.0032111,2.4933,0.019684,AC9.2 - AC9.1; AC9.1 - AC9.3; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC; E30 - AC9.3
1.689/148.13216,9.0415,0.0032397,2.4895,0.019788,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.140/539.17995,8.9419,0.0033657,2.4729,0.020484,AC9.2 - AC9.1; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30
4.914/463.01281,8.8645,0.0034677,2.46,0.021029,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
4.530/332.56830,8.8473,0.0034908,2.4571,0.02103,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.413/330.10097,8.846,0.0034926,2.4569,0.02103,AC9.1 - AC9.3; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
1.082/197.02140,8.7802,0.0035831,2.4457,0.021431,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3
2.619/352.25016,8.7792,0.0035845,2.4456,0.021431,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.529/524.06958,8.7659,0.0036032,2.4433,0.021467,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.231/337.24076,8.7517,0.0036232,2.4409,0.021511,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
5.088/541.92150,8.7149,0.0036757,2.4347,0.021747,AC9.1 - AC9.2; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; E30 - QC
2.118/173.00212,8.6962,0.0037028,2.4315,0.021831,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - QC
4.328/337.15079,8.6818,0.0037239,2.429,0.021843,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
4.568/188.17587,8.6772,0.0037305,2.4282,0.021843,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC; QC - E30
1.534/248.15311,8.6522,0.0037675,2.4239,0.021972,E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
5.360/296.07130,8.6375,0.0037894,2.4214,0.021972,AC9.1 - AC9.3; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.914/500.96632,8.6329,0.0037963,2.4206,0.021972,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
5.040/332.20979,8.6275,0.0038043,2.4197,0.021972,AC9.1 - AC9.2; AC9.1 - E30; AC9.3 - E30; QC - E30
4.258/88.03725,8.6181,0.0038185,2.4181,0.021979,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.917/425.05585,8.5258,0.003961,2.4022,0.022706,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
4.595/521.16382,8.5191,0.0039715,2.401,0.022706,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.530/542.08165,8.476,0.0040406,2.3936,0.023012,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.565/323.07565,8.4688,0.0040522,2.3923,0.023012,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
5.114/288.26798,8.45,0.0040828,2.389,0.023109,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
4.920/447.03642,8.439,0.0041009,2.3871,0.023134,AC9.2 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
1.053/146.07995,8.4303,0.0041152,2.3856,0.023138,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
5.060/643.32524,8.4087,0.0041512,2.3818,0.023263,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
4.794/340.02593,8.2757,0.0043809,2.3584,0.024469,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; E30 - QC
4.549/294.03294,8.2664,0.0043974,2.3568,0.024472,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.418/390.13966,8.2594,0.0044101,2.3556,0.024472,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.670/216.06571,8.12,0.0046699,2.3307,0.025827,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; QC - AC9.3
2.688/235.16854,8.1123,0.0046848,2.3293,0.025827,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3
2.209/430.20550,8.0544,0.0047985,2.3189,0.026348,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC
3.677/221.99404,8.0485,0.0048103,2.3178,0.026348,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3; QC - E30
2.894/313.06388,8.0124,0.0048831,2.3113,0.026552,AC9.1 - AC9.3; AC9.2 - AC9.3; AC9.2 - QC; E30 - AC9.3
4.840/368.01271,8.0084,0.0048914,2.3106,0.026552,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
0.619/432.24946,8.0069,0.0048945,2.3103,0.026552,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
1.289/305.97504,7.9571,0.0049976,2.3012,0.027025,AC9.1 - AC9.2; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; AC9.3 - E30
4.910/148.14308,7.9433,0.0050266,2.2987,0.027087,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.641/404.22330,7.9364,0.005041,2.2975,0.027087,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2
4.414/289.21108,7.8411,0.0052478,2.28,0.028,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; AC9.3 - QC
1.572/241.15825,7.8377,0.0052554,2.2794,0.028,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.569/207.14037,7.8356,0.0052602,2.279,0.028,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; E30 - AC9.3; E30 - QC
2.671/236.17095,7.8267,0.00528,2.2774,0.028017,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
1.080/256.09701,7.7189,0.0055284,2.2574,0.029195,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; E30 - QC
4.480/368.01205,7.7155,0.0055365,2.2568,0.029195,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
3.652/202.07173,7.6855,0.0056083,2.2512,0.029483,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.2
3.681/257.99636,7.6438,0.0057101,2.2434,0.029925,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3; QC - E30
1.245/204.12438,7.6193,0.0057709,2.2388,0.030151,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.752/223.03806,7.6072,0.0058012,2.2365,0.030216,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.913/275.10682,7.5736,0.0058862,2.2302,0.030565,AC9.2 - AC9.1; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; E30 - QC
4.577/516.10228,7.5547,0.0059349,2.2266,0.030675,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
1.821/132.10033,7.5462,0.0059569,2.225,0.030675,E30 - AC9.1; E30 - AC9.2; QC - AC9.2; E30 - AC9.3
4.455/373.04746,7.5444,0.0059615,2.2246,0.030675,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2
1.117/428.22175,7.5163,0.0060352,2.2193,0.03096,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
3.677/302.11708,7.4978,0.0060843,2.2158,0.031118,E30 - AC9.1; QC - AC9.1; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; QC - AC9.3
1.973/161.61395,7.4566,0.006195,2.208,0.031431,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - QC; AC9.3 - AC9.2; E30 - AC9.2; E30 - QC
0.679/298.14504,7.4549,0.0061998,2.2076,0.031431,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; QC - AC9.3
6.170/294.17804,7.4544,0.0062011,2.2075,0.031431,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
1.664/206.13905,7.4268,0.0062771,2.2022,0.031722,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.308/184.07490,7.4047,0.0063386,2.198,0.031937,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
3.668/143.11663,7.3728,0.0064286,2.1919,0.032295,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
3.683/304.12032,7.3605,0.0064635,2.1895,0.032311,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
4.592/261.08177,7.3584,0.0064698,2.1891,0.032311,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.955/102.08948,7.2762,0.0067111,2.1732,0.033306,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.415/296.10083,7.2731,0.0067203,2.1726,0.033306,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1
4.352/296.02462,7.2705,0.006728,2.1721,0.033306,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1
1.169/166.13298,7.2314,0.0068471,2.1645,0.033798,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC
4.780/299.69770,7.1996,0.0069458,2.1583,0.034033,AC9.2 - AC9.1; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
2.600/507.29178,7.1971,0.0069537,2.1578,0.034033,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
0.540/485.15020,7.1949,0.0069605,2.1574,0.034033,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
4.785/463.01087,7.1903,0.0069749,2.1565,0.034033,AC9.2 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
4.402/274.19245,7.1552,0.0070864,2.1496,0.034426,AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC
4.668/252.08629,7.1522,0.007096,2.149,0.034426,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; QC - AC9.3
4.420/392.13724,7.1293,0.00717,2.1445,0.034685,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
4.418/272.06799,7.1231,0.0071902,2.1433,0.034685,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2
4.648/419.92713,7.0609,0.0073968,2.131,0.035512,AC9.3 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.321/182.04455,7.0559,0.0074139,2.13,0.035512,AC9.2 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.593/519.53949,7.0489,0.0074375,2.1286,0.035512,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.785/409.98662,7.0466,0.0074454,2.1281,0.035512,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.672/144.03886,7.0344,0.0074871,2.1257,0.035611,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3
4.550/502.27754,7.0278,0.0075097,2.1244,0.035619,AC9.3 - AC9.1; QC - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
1.339/198.16045,7.0049,0.007589,2.1198,0.035894,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.239/162.11240,6.9257,0.0078714,2.1039,0.037127,AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3; E30 - QC
1.126/453.26051,6.9096,0.0079304,2.1007,0.03719,AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30
4.427/424.08772,6.9044,0.0079495,2.0997,0.03719,AC9.3 - AC9.1; E30 - AC9.1; E30 - AC9.2; E30 - QC
4.589/559.12054,6.9042,0.0079505,2.0996,0.03719,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.449/591.09646,6.8666,0.0080904,2.092,0.03774,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.734/599.40981,6.8541,0.0081378,2.0895,0.037794,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
1.483/205.12714,6.8518,0.0081465,2.089,0.037794,AC9.1 - AC9.3; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
0.577/291.20012,6.8318,0.0082232,2.085,0.037978,AC9.1 - AC9.2; AC9.1 - QC; AC9.3 - AC9.2; E30 - AC9.2; E30 - QC
5.793/148.05977,6.8298,0.0082308,2.0846,0.037978,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3; E30 - QC
2.235/149.06228,6.7835,0.0084111,2.0751,0.038705,AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
0.817/146.11715,6.7372,0.0085966,2.0657,0.039452,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC
4.454/270.14701,6.709,0.0087122,2.0599,0.039874,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; QC - AC9.3
0.701/516.33258,6.6893,0.0087939,2.0558,0.04014,AC9.2 - AC9.1; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3
1.535/203.13995,6.6698,0.0088757,2.0518,0.040405,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.471/405.96881,6.6575,0.0089276,2.0493,0.040532,E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; E30 - QC
4.274/138.02180,6.639,0.0090066,2.0454,0.040782,AC9.3 - AC9.1; E30 - AC9.1; E30 - AC9.2; E30 - QC
4.769/401.20471,6.6197,0.00909,2.0414,0.04105,AC9.1 - AC9.2; AC9.1 - E30; AC9.3 - AC9.2; QC - AC9.2
4.313/124.99820,6.5704,0.0093074,2.0312,0.04192,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
5.227/296.06989,6.5296,0.0094918,2.0227,0.042638,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3
4.370/180.08602,6.4954,0.00965,2.0155,0.043234,E30 - AC9.1; E30 - AC9.2; QC - AC9.2; E30 - AC9.3
4.590/543.14361,6.4887,0.0096811,2.0141,0.043259,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; E30 - AC9.3
4.723/75.07301,6.4763,0.0097397,2.0115,0.043407,AC9.1 - QC; E30 - AC9.2; AC9.2 - QC; AC9.3 - QC; E30 - QC
5.363/303.21662,6.4573,0.0098301,2.0074,0.043695,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2
0.863/241.15856,6.4411,0.0099075,2.004,0.043924,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3; E30 - QC
1.131/259.22419,6.4294,0.0099645,2.0015,0.043986,AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.3 - E30; QC - E30
0.760/326.22376,6.4276,0.0099733,2.0012,0.043986,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
3.677/172.10741,6.4043,0.010087,1.9962,0.044374,E30 - AC9.1; QC - AC9.1; E30 - AC9.2; E30 - AC9.3
5.697/352.93484,6.3768,0.010224,1.9904,0.044858,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; AC9.3 - QC; E30 - QC
0.560/179.15347,6.3291,0.010467,1.9802,0.045786,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3
0.676/269.69510,6.3247,0.010489,1.9793,0.045786,AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
0.694/308.98165,6.3151,0.010539,1.9772,0.045886,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3
0.818/145.66846,6.2678,0.010789,1.967,0.046779,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30
4.836/263.12638,6.2638,0.01081,1.9662,0.046779,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3
1.098/227.08715,6.2606,0.010827,1.9655,0.046779,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2
1.671/145.13199,6.2508,0.01088,1.9634,0.046889,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3
4.608/399.98115,6.2246,0.011022,1.9577,0.047383,AC9.2 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.3
2.597/390.21018,6.1938,0.011193,1.951,0.047995,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC
3.662/208.11899,6.1848,0.011244,1.9491,0.048091,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2
4.411/130.11979,6.1598,0.011386,1.9436,0.048575,AC9.1 - E30; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.443/378.13943,6.1388,0.011507,1.9391,0.048889,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
5.058/303.18362,6.137,0.011517,1.9387,0.048889,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - E30; QC - E30
1.577/240.41108,6.1241,0.011592,1.9359,0.049055,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.398/367.06361,6.1203,0.011614,1.935,0.049055,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3
3.672/189.12368,6.1002,0.011732,1.9306,0.049361,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; AC9.3 - QC
4.646/373.03763,6.0982,0.011744,1.9302,0.049361,AC9.1 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3
5.943/428.04682,6.0893,0.011797,1.9282,0.049374,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - QC
4.547/345.08441,6.0879,0.011806,1.9279,0.049374,AC9.2 - AC9.1; AC9.2 - E30; AC9.3 - E30; QC - E30
1.094/224.95705,6.077,0.011871,1.9255,0.049525,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
