"",f.value,p.value,-log10(p),FDR,Fisher's LSD
4.424/170.09284,16.249,0.00037798,3.4225,0.0046174,AC9.2 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; E30 - QC
4.938/608.11105,16.162,0.00038589,3.4135,0.0046803,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
2.210/564.25175,16.097,0.00039194,3.4068,0.00472,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC
1.454/176.12805,15.93,0.00040797,3.3894,0.0048784,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.417/182.09231,15.813,0.00041971,3.377,0.0049837,AC9.1 - AC9.3; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.560/361.20496,15.685,0.000433,3.3635,0.0051058,AC9.3 - AC9.1; AC9.3 - AC9.2; QC - AC9.2; AC9.3 - E30; AC9.3 - QC; QC - E30
3.660/139.91305,15.616,0.00044041,3.3561,0.0051574,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2
1.390/104.10570,15.574,0.00044498,3.3517,0.0051752,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
3.661/138.05430,15.536,0.00044914,3.3476,0.0051881,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
6.002/221.63141,15.334,0.00047218,3.3259,0.0054017,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
1.109/461.14628,15.319,0.000474,3.3242,0.0054017,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - E30; AC9.3 - E30; QC - E30
4.546/366.18866,15.26,0.00048101,3.3178,0.005445,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.418/290.21351,15.214,0.00048656,3.3129,0.0054714,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - QC; E30 - QC
1.389/243.18649,14.998,0.00051381,3.2892,0.0057194,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
3.665/240.86866,14.987,0.00051535,3.2879,0.0057194,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2
