Sample	QC_I	AC9.3_I	AC9.3_II	AC9.1_I	AC9.1_II	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_III	pPTGE30_III	AC9.2_III	AC9.2_II	QC_II
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
4.595/126.10126	0	10817	9449	11259	10075	10342	9286	10752	11817	9228	10113	10508	9571	0
4.593/127.03086	0	22088	19416	20748	20087	21353	20065	19768	18314	17012	19443	20309	20026	0
5.782/127.03108	0	4347	3442	5728	5392	5127	4210	4580	2663	5010	4787	3909	4227	0
4.437/127.03120	0	20189	19014	19855	19989	18487	20271	17571	15436	16245	19383	18291	17697	0
0.655/127.03759	0	967	896	730	753	1136	765	733	878	1181	1040	942	651	0
1.102/127.04813	0	790	789	756	861	1049	719	573	579	875	563	637	588	0
5.233/127.09628	0	3910	1800	2319	2834	1459	2922	3653	358	2995	4348	2681	1977	0
4.438/127.12151	0	4687	6751	1463	1007	5091	1368	3938	5803	965	3886	1497	1541	0
3.649/128.06894	0	6163	10193	2161	1896	4392	3252	3540	1750	1233	3872	1573	2260	0
4.383/128.06899	0	21309	19018	35047	32141	23335	19697	29930	16131	31024	23263	22531	19374	0
1.328/128.10502	0	4580	2580	1634	3409	2758	2073	1622	2188	1510	1345	2572	1809	0
1.467/128.10515	0	1688	1499	2089	1901	4531	1912	3042	892	1739	2218	1360	1216	0
0.795/128.10517	0	1322	1359	747	1394	868	1111	616	1175	624	449	1522	713	0
0.724/128.14179	0	356	1777	0	0	0	51	0	3547	0	0	1010	50	0
4.737/129.10082	0	13281	12623	14594	11277	14012	13858	14217	10421	13828	10926	15071	12434	0
4.737/129.68596	0	2541	2150	2080	1836	2248	1998	2347	1520	2460	1513	2103	2146	0
0.635/129.75805	0	2491	2448	2773	2418	2338	2192	2339	1846	2375	2550	2592	1993	0
5.816/130.04847	0	3487	2502	3878	5039	4774	3730	3731	2573	5106	5599	3380	3745	0
0.968/130.08450	0	2885	1447	3302	3209	2056	2699	3175	263	4804	2715	3768	3422	0
2.905/130.08452	0	2925	2807	3077	2178	1948	2985	1970	2494	2255	1620	1729	2046	0
4.363/130.08486	0	108578	101455	104441	89589	76630	85621	84750	94225	95160	75713	92136	82914	0
0.787/130.08487	0	5071	1954	3994	5510	2609	5245	5676	645	5288	6026	5206	4049	0
1.161/130.08492	0	4415	1710	3657	3072	2849	4155	4564	392	4331	4269	3075	3042	0
4.740/130.08558	0	413859	388883	452282	359233	394534	417062	421851	316272	397978	326005	422810	400536	0
4.411/130.11979	0	6200	5079	5203	5823	4249	4945	4137	5330	4509	3965	4677	4415	0
1.348/130.12055	0	404	403	1039	410	939	426	870	541	497	698	403	330	0
0.819/130.15770	0	146	530	894	766	853	606	253	459	469	326	834	288	0
0.635/130.15809	0	594047	505662	544211	504172	477657	498941	460400	395323	498887	509588	549434	359672	0
0.569/131.08387	0	944	935	1210	809	1052	834	1015	966	945	1019	750	811	0
4.780/131.12752	0	2071	5663	2287	2606	1660	1222	1124	4070	1690	1054	1182	1098	0
3.677/132.01890	0	0	0	651	1013	96	588	192	0	1102	123	918	1181	0
2.936/132.01968	0	14269	14282	15871	14882	16384	16264	14829	16215	12966	15840	14646	12990	0
3.674/132.07474	0	831	4466	969	858	3926	625	1176	4397	991	2241	460	676	0
2.357/132.09969	0	12613	11591	8886	57633	7763	6146	9865	23732	44739	10227	4579	20122	0
2.681/132.09998	0	16814	13545	15741	19413	13217	15848	11813	11032	16064	13019	16031	16430	0
0.682/132.10030	0	15319	6972	12447	13300	7551	13318	12424	1669	14788	12362	14800	15616	0
1.821/132.10033	0	6657	6183	9916	6730	10887	5780	10802	4165	5333	10322	5813	4254	0
1.503/132.10062	0	3075	3023	4754	6354	5511	2134	4629	3266	5200	5521	1904	2185	0
0.800/132.13684	0	1207	877	3408	3294	1040	1869	844	647	3104	840	1608	1856	0
1.350/132.13725	0	3034	3532	11998	7150	5522	5257	4200	1887	7297	3876	5213	5223	0
4.824/132.68791	0	2002	1877	1521	1403	1830	1045	1619	1398	1498	1931	1366	1450	0
