Sample	True.blank.start	Single.blank	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2	True.blank.end
Label	BLANK	BLANK	QC	AC9.3	AC9.3	AC9.1	AC9.1	pPTGE30	AC9.2	pPTGE30	AC9.3	AC9.1	pPTGE30	AC9.2	AC9.2	QC	BLANK
0.554/111.94586	0	0	2981	4522	2447	2788	2651	3930	2871	3214	2914	2660	3463	2570	2475	2752	0	0
0.460/111.94687	0	0	10584	12947	11979	10002	9986	10529	8479	9270	11203	10102	9962	8679	10261	9491	0	0
0.585/112.63858	0	0	596	677	436	276	630	1842	304	678	552	577	316	344	287	453	0	0
0.863/112.98540	166	222	1310	794	1059	677	849	2445	777	949	591	863	735	517	694	929	154	180.395833333333
0.585/112.98610	254	332	104167	95868	79879	56140	69372	263830	70338	92405	74828	77997	70527	60779	60894	87668	99	228.25
2.121/113.02470	0	0	751	1843	2391	367	79	982	431	1494	1370	392	257	566	372	621	0	0
0.554/113.03593	0	0	12809	7762	4690	13706	16434	9881	12397	9572	12508	14669	14344	10454	12190	10852	0	0
0.567/114.05587	0	35	48233	51158	43869	63164	55476	37617	45343	48628	47792	54724	35325	36632	39306	44508	0	11.75
2.277/114.05592	0	0	813	939	1341	1652	2263	699	820	1573	1165	2131	526	1300	1196	1377	0	0
0.460/115.00332	0	0	3755	4552	2918	2447	3531	1902	4690	2697	4324	2912	2376	3062	4842	3766	0	0
0.584/115.71340	0	0	1532	1372	1224	1949	1654	1203	1572	1110	1349	1256	1540	1620	2035	1322	0	0
1.060/116.01811	0	0	13205	17759	6214	9691	12328	4970	15148	9260	2940	14508	9916	21973	22743	12020	0	0
2.134/116.05069	0	0	16316	13370	11891	15001	19186	15407	13587	11604	8875	17183	14504	14552	16028	14110	0	0
0.585/116.07215	0	111	254407	241198	221143	306870	303751	187952	278661	214944	229220	274995	226632	272452	277475	235328	0	37.125
0.970/116.90670	0	0	4133	5918	6544	2285	3895	4854	2979	3306	5930	3454	2166	2620	3439	4373	0	0
0.568/116.97180	0	0	2201	2980	3937	1874	1898	1970	1400	2024	3578	1422	2461	1990	1274	2184	0	0
0.465/117.01930	0	234	6406	4949	4296	5353	4398	3429	4810	5110	3586	4335	4072	4344	4945	4238	0	78.0208333333333
1.069/118.01331	0	0	796	580	236	502	451	197	499	300	51	303	364	794	1063	575	0	0
0.719/118.03390	0	0	1167	1117	465	900	846	740	875	436	450	834	810	1444	897	1236	0	0
0.564/118.05129	0	892	5288	4399	5914	7030	6723	4469	6653	6328	5205	6661	6635	5483	5554	7230	0	297.1875
0.970/118.90471	0	0	4560	6889	6920	2497	4535	5810	3176	2949	6290	4303	2500	3218	4070	4621	0	0
0.552/118.96801	0	0	548	797	1612	472	520	740	565	227	1332	458	439	280	576	377	0	0
1.053/119.03548	0	0	1759	1392	1279	1338	1701	1127	1420	1597	1161	1736	1048	772	1296	1290	0	0
0.739/119.05043	0	0	947	1756	1367	1834	1262	967	1153	1478	1908	1716	1772	643	1516	1728	0	0
2.602/119.08701	0	0	0	0	0	0	0	0	0	0	0	0	0	1992	0	51	0	0
0.544/119.94596	0	0	543	975	1210	422	360	498	1113	492	1672	204	660	516	1002	470	0	0
2.144/120.01331	0	0	476	594	761	389	993	232	1126	260	772	381	222	700	732	882	0	0
0.971/120.90263	0	0	1756	2729	2746	1058	1584	2111	1092	758	2237	1189	915	1356	1129	1514	0	0
2.393/121.02984	265	192	2963	2917	2336	3478	3308	3852	2597	4471	3891	4052	5013	3634	2967	3621	256	237.645833333333
0.577/125.01776	0	177	1257	1877	1598	1291	878	859	829	878	1211	923	664	661	818	1390	0	58.9583333333333
1.080/125.03463	0	0	986	1008	1201	794	940	476	758	662	381	1253	624	650	1112	856	0	0
1.526/125.03566	0	0	1132	1503	1285	1786	1224	1071	1695	1201	507	2208	1454	1409	1213	1465	0	0
2.652/125.06078	0	0	658	561	298	1006	621	1490	568	1816	861	668	998	338	580	948	0	0
2.836/125.09737	0	65	35616	32176	31527	30558	38582	31812	35771	36099	30737	30980	31081	30232	27776	32620	0	21.75
0.603/126.05560	0	0	2589	1694	1749	3215	2235	1692	1913	1700	1464	2482	1981	2234	1948	1886	0	0
0.610/127.00342	0	0	3878	2992	7786	1810	2553	4219	2047	578	10663	2864	935	1086	4332	3377	0	0
0.814/127.04022	0	0	2819	1994	1847	2212	2521	2385	1698	2190	1770	2623	1911	1956	1747	2069	0	0
0.562/127.05111	0	100	9373	6594	5821	9422	13562	13001	10774	6181	8926	14825	15086	9960	11187	9872	0	33.3125
0.460/128.03518	0	0	10887	7985	6486	11732	10437	7353	13054	8720	9832	9449	7974	12133	14140	9603	0	0
0.558/128.03546	0	0	29347	28314	24063	31761	35182	25097	35367	28212	37609	38292	30095	28355	28451	25912	0	0
0.625/128.07206	0	0	68596	62165	55932	68090	65677	77694	69865	72094	60628	69116	66298	76142	69119	67110	0	0
0.565/129.01863	0	0	5531	7268	3818	4956	6330	2821	5713	7097	2099	6672	9150	7384	6827	5090	0	0
0.451/129.01906	0	0	4100	3338	1834	4805	4738	3087	4053	3676	3814	5638	3780	5592	4372	5064	0	0
1.480/129.05588	0	0	2013	3111	2811	1690	2270	1382	1718	1874	2534	2022	1599	2141	1791	2052	0	0
1.366/129.05608	0	0	3273	4196	4823	2980	3147	2830	2830	3371	3931	2518	2278	3417	3039	3201	0	0
0.769/129.68568	0	0	4069	4267	3521	4317	3614	3551	4813	4169	3710	3972	3326	4033	3138	3704	0	0
0.565/129.99438	0	0	1527	1475	2894	2857	3967	497	2968	873	2057	5037	1517	2043	2173	1973	0	0
0.460/130.03308	0	0	4186	3609	2138	5638	5400	2113	5454	1376	5329	5247	1681	6967	5164	4065	0	0
0.635/130.03348	0	0	1609	1378	1180	2212	2083	1340	1571	1332	932	2005	1310	1333	1398	1485	0	0
0.660/130.05145	0	0	1338	1936	1107	1182	1625	998	1063	1488	891	2391	1466	1572	2151	1362	0	0
0.769/130.08843	0	0	804774	766125	660427	785537	776218	690946	740662	705800	692964	768967	678507	726766	744900	715115	0	0
0.447/130.99741	0	0	662	510	300	978	1283	1072	1105	692	848	1274	924	1352	1003	1141	0	0
0.560/131.04604	0	59	67322	45487	37174	70330	92167	65811	77428	60609	56306	78752	91572	69813	68021	68815	0	19.6666666666667
